round,normalized_median_gini_index,r1_quadratic_gini_index,r2_mean_gini_index,r3_median_gini_index,r4_capped_median_gini_index
1,0.2994905992979522,0.13719906106004187,0.25351838802100435,0.2994905992979522,0.2994905992979522
2,0.29071957779957946,0.13426895927772917,0.24780839228331467,0.29071957779957946,0.29071957779957946
3,0.30452153166721363,0.1412945234853408,0.2576608130191688,0.30452153166721363,0.30452153166721363
4,0.29516601283936006,0.1353318620646737,0.24983950327003515,0.29516601283936006,0.29516601283936006
5,0.2911576250675871,0.13757665145144712,0.2480110231797257,0.2911576250675871,0.2911576250675871
6,0.29612419988501476,0.13730974550483324,0.25124935408205046,0.29612419988501476,0.29612419988501476
7,0.28631199492343434,0.1348506505378677,0.2426007503312252,0.28631199492343434,0.28631199492343434
8,0.296437433822452,0.1377845142823989,0.25042599048097186,0.296437433822452,0.296437433822452
9,0.2982674988791407,0.13814299836691651,0.25338382014327404,0.298267498879141,0.2982674988791407
10,0.29666104304869634,0.1379213358878189,0.2536119538343662,0.29666104304869634,0.29666104304869634
11,0.28915533438452673,0.13511233341994106,0.2448075469622849,0.28915533438452695,0.28915533438452673
12,0.29897788073674375,0.13867062488424178,0.25298688776508965,0.2989778807367437,0.29897788073674375
13,0.2847580361220457,0.13259957577603187,0.24211948900188707,0.2847580361220457,0.2847580361220457
14,0.3027608222869455,0.1392147253278567,0.2563604836886809,0.3027608222869455,0.3027608222869455
15,0.30598933299981895,0.1397874892031218,0.2570915518550642,0.30598933299981895,0.30598933299981895
16,0.2828352538697138,0.13155633377233547,0.24123960852943652,0.2828352538697139,0.2828352538697138
17,0.2928311189509703,0.13633595309094684,0.24722746795433517,0.2928311189509703,0.2928311189509703
18,0.30132000018574345,0.13967949480451441,0.25531001107191337,0.3013200001857436,0.30132000018574345
19,0.2989587297736014,0.13801368550847862,0.25442379741288307,0.29895872977360155,0.2989587297736014
20,0.2903169212172678,0.13490373859117777,0.2472873909884695,0.2903169212172675,0.2903169212172678
21,0.2968678030762871,0.1383389734111855,0.24987134449476858,0.2968678030762871,0.2968678030762871
22,0.28200814583955297,0.132805158670786,0.24096662352229425,0.28200814583955297,0.28200814583955297
23,0.29019997756110216,0.13562482349147906,0.24747214584442997,0.29019997756110216,0.29019997756110216
24,0.2990361286969489,0.14028947725057112,0.25456961891317714,0.2990361286969489,0.2990361286969489
25,0.30711788115640976,0.1426687712432614,0.25981296752077454,0.30711788115640976,0.30711788115640976
26,0.2987762613720722,0.13916946359034246,0.2540458035655707,0.2987762613720722,0.2987762613720722
27,0.2938151919256564,0.13680726565889795,0.24796140397343566,0.2938151919256564,0.2938151919256564
28,0.30485064458211064,0.1422546062809671,0.2583747404405715,0.30485064458211064,0.30485064458211064
29,0.3082932542376186,0.14371144648414144,0.26252730688526854,0.3082932542376186,0.3082932542376186
30,0.30472318872289783,0.14259817928876692,0.26021417946075814,0.30472318872289783,0.30472318872289783
31,0.2973989019934858,0.1389987507851659,0.2534203386843849,0.2973989019934858,0.2973989019934858
32,0.3121501281813849,0.14236776969662762,0.26368633330957586,0.3121501281813849,0.3121501281813849
33,0.31458776146791606,0.14504331953527627,0.2663861139279591,0.31458776146791606,0.31458776146791606
34,0.2981128118552174,0.13951501161418534,0.25474722537287825,0.29811281185521726,0.2981128118552174
35,0.3083123050757822,0.14182564294850547,0.2619031695297586,0.3083123050757822,0.3083123050757822
36,0.2797364572297397,0.12995066364593108,0.2354740293313355,0.2797364572297397,0.2797364572297397
37,0.29153313944448905,0.13548529444226823,0.24693295226132375,0.29153313944448905,0.29153313944448905
38,0.2878873845044433,0.1347776242927334,0.24425349594262954,0.2878873845044433,0.2878873845044433
39,0.303032398941752,0.13826256571632048,0.2549426057477847,0.3030323989417515,0.303032398941752
40,0.3043231672413631,0.14114087867078556,0.25799940959203205,0.3043231672413631,0.3043231672413631
41,0.2978269582279597,0.13851590368213024,0.2531112986529681,0.2978269582279597,0.2978269582279597
42,0.3016183777770369,0.14028340855248364,0.2556142962615559,0.3016183777770369,0.3016183777770369
43,0.2986758542531681,0.1390688101354922,0.25308871503586206,0.2986758542531681,0.2986758542531681
44,0.29169688847687025,0.13444847710889496,0.24700052692322474,0.29169688847687025,0.29169688847687025
45,0.2907412123148848,0.13532726331110503,0.24876216382460714,0.2907412123148848,0.2907412123148848
46,0.28992471673238507,0.13499260719393286,0.24910965997877313,0.28992471673238507,0.28992471673238507
47,0.2912742811713292,0.1352834788004388,0.24765794255764695,0.2912742811713292,0.2912742811713292
48,0.29515348523783047,0.13720496068273483,0.24917709450526734,0.29515348523783047,0.29515348523783047
49,0.2937995479094015,0.1363941886807867,0.2493736881034384,0.2937995479094015,0.2937995479094015
50,0.289477041389185,0.1355408264554248,0.2462464295181976,0.289477041389185,0.289477041389185
51,0.28299219132531556,0.13222447715623667,0.2393245959658138,0.28299219132531556,0.28299219132531556
52,0.3057956915174632,0.14084046159962207,0.25896954840880493,0.3057956915174632,0.3057956915174632
53,0.2885025872873218,0.13275519146230014,0.2456451320535209,0.2885025872873218,0.2885025872873218
54,0.2972864652553388,0.13866154354380103,0.2536742138935984,0.2972864652553388,0.2972864652553388
55,0.2865535319814857,0.13249743219166593,0.2427756759774925,0.2865535319814857,0.2865535319814857
56,0.3040299514153915,0.14179468805324993,0.25658914836203395,0.3040299514153915,0.3040299514153915
57,0.2902825105074656,0.13624308778059355,0.24915647039663458,0.2902825105074656,0.2902825105074656
58,0.2892090208407204,0.1365260709689584,0.24521624739696107,0.2892090208407204,0.2892090208407204
59,0.29584933921139167,0.138029969018713,0.2516964530469287,0.29584933921139167,0.29584933921139167
60,0.28378818569436387,0.13169156354426742,0.23961399308885709,0.28378818569436387,0.28378818569436387
61,0.31361927947980817,0.14311374845147423,0.2653550696790176,0.31361927947980817,0.31361927947980817
62,0.2960348529285967,0.13788404802862705,0.25257394690460655,0.296034852928597,0.2960348529285967
63,0.2961184580039576,0.138100133999844,0.2502791774729967,0.2961184580039576,0.2961184580039576
64,0.30016724854634586,0.1403477765434991,0.25451311658493925,0.30016724854634586,0.30016724854634586
65,0.284689683068234,0.13094463979047577,0.24200078121278762,0.284689683068234,0.284689683068234
66,0.28599447268236006,0.13340318255553854,0.24324547578196482,0.28599447268235995,0.28599447268236006
67,0.2894855982286791,0.1347461169631088,0.24632653066462107,0.2894855982286791,0.2894855982286791
68,0.2945749257014175,0.13678471355385075,0.2502233040901817,0.2945749257014175,0.2945749257014175
69,0.28523620557958274,0.13207151915605275,0.2413723450810017,0.28523620557958274,0.28523620557958274
70,0.2933617072414553,0.1364722699297396,0.24812198643331765,0.2933617072414553,0.2933617072414553
71,0.29372831370964175,0.13579975999541088,0.24931126208979323,0.29372831370964175,0.29372831370964175
72,0.29395573591735386,0.13744372116959577,0.2507018349767462,0.2939557359173538,0.29395573591735386
73,0.3053789819373143,0.14151404119574829,0.2598659797011807,0.3053789819373143,0.3053789819373143
74,0.30108583523057825,0.1385294388342449,0.254255797936206,0.30108583523057825,0.30108583523057825
75,0.28288005464872334,0.13085121403569883,0.23879557561771605,0.28288005464872334,0.28288005464872334
76,0.2811805779041168,0.1304974383982188,0.2380559661783782,0.2811805779041168,0.2811805779041168
77,0.2907434342004475,0.1348396421789097,0.24627390758641135,0.2907434342004475,0.2907434342004475
78,0.299519353957388,0.13878366255660649,0.2549235001130895,0.299519353957388,0.299519353957388
79,0.29875213476341356,0.1377081118871015,0.2535397214590484,0.29875213476341356,0.29875213476341356
80,0.30581457853196553,0.14171390846439116,0.259085560393123,0.30581457853196553,0.30581457853196553
