project_name,application_id,median_score,adjusted_score,final_score
Union,0x59a9c9e954400f540020b2c61bbdac4d4bf1582c902fe7d49fa9fc0907ee3f4a,2915.0,3179.3,3183.5
Gangster Arena,0x87d49ebca1bda6345aada7953ff55aa18acd69bf97caecdcedfac93b506ef0d6,2887.6,3149.4,3153.5
Wombat Exchange,0x1d585df770de05257717b33075f6d32e79fb60ec507cff35e51a0e478a4a54a0,2814.1,3069.3,3073.4
Base on Rarible,0x7a13acc03022c7f42347006fd95d2aeeadd0a0e7411ae6405c645814814fd093,2766.4,3017.2,3021.2
Drakula.app,0x54ff216c822bda60476028563e056b6aa5d48aeffa73173267cb988a340c5332,2731.0,2978.6,2982.6
Daimo,0x31ad5901da0dd56bc4e1649645365b03443ac0712c72431bf6132b121b8b96eb,2571.1,2804.3,2808.0
Ethos Reserve,0x753735dcf81ae3bd485765a433f7d9fd93f704bc8713d873b4cacfbbec060c0d,2568.7,2801.6,2805.3
Mintify,0xb41e32621e56fbe7d89052f3c852ff70c6bfe21ba5a91910ef2fd548eb6e4e8a,2456.9,2679.7,2683.3
UNCX Network,0x396426679c3986320a3aa0c23b69857c06cb41ff0c92ac81aaa0332e5200ec9c,2212.6,2413.3,2416.5
Mochimons,0xaec46d1927be76868345f3c076c66b9991d6e2cb1f0589dabd768cf14638b34e,2204.8,2404.8,2407.9
Liquidify,0xb0c8fe8e359a91bc2fa4b7498e2c7f6a50f730ee1dc821bee016a4b7feb7639e,2140.6,2334.7,2337.8
Alchemix,0x12d482385e2c26d37da1f30c513d66c1fa39e9ed4980a49a51b23caa7b2ce0bc,2140.1,2334.2,2337.2
ORA Onchain AI Oracle on Optimism,0x87c29aa0ad226c7f20cf3f37842ced2a795ad38a03a18f0829d1c09dbc77f51a,2104.1,2294.9,2297.9
Summer.fi,0xf9a4e3b240bf6d40ee533e5ed63a8288b1a739ee382b1f23ccc5229b7bc8a498,2050.4,2236.3,2239.2
Astaria,0xda73a17b6b38aafcdcd684f5e10dbb5aad0b114ced4bf87c91afadf362df17f3,2050.0,2235.8,2238.8
Based Onchain Dinos,0xb9b7f1175044c211555b5589ee389263d2e455f99c1505e6b121cf6e3f5caaff,1994.7,2175.5,2178.4
Trash NFTs,0x935315db8c17993464cfb28337442ad60c6cd434305130a1d5d898e92d6d8123,1841.0,2008.0,2010.6
Crypto Composite,0x6b8cc2b8d8f7a051927d058af2e742fb940a248c4de357e2a7a6b58f01831d44,1672.7,1824.4,1826.8
builder.fi,0x7d7720ffd4c1ba8e67473a24a14ab4fab47486102436e14edf63ed2070669d49,1627.0,1774.6,1776.9
Tokepad,0x0d1810bae195eec71762b45236d0b9fd0a37c3089f7c466453b86e961326f8a7,1557.3,1698.5,1700.7
ZKP2P,0x941cd8e246098a5392e47379f6353f6e37c769b022546b640aa5c6c78f91119e,1483.2,1617.7,1619.8
Aragon,0xa08c7ab7824d147d6cb87ffb4e86cec454a030d48b8c395bad6d64456be3d911,1429.1,1558.7,1560.7
Unitap,0x2e7c3fcaca4cfa15199cba38b7f5ee0e18377e069dc8237d03fa7620d44d3cd3,1410.8,1538.7,1540.7
/send,0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a,1275.4,1391.0,1392.8
PiraNFT,0x28e90d2194452d0b959d1729eb5bc9183681bd891efb59aea2383b0ac7fd53f7,1269.9,1385.1,1386.9
IntentX,0x2ddf5b9dc64f873d6557b4f63de936cf278f8851deda857244a1be44d1a1e950,1155.6,1260.4,1262.0
Egg Wars: A Game on Base,0xa4d3729a488eeabcc3a59de70b760391db50e9bf488d5942e704089c58825c24,1140.4,1243.9,1245.5
BaseDoge,0x69e36f30f2a21afb2eb61156ca00f303434ba8868315abec3eb8780b812fe976,1067.4,1164.2,1165.7
Cygnus Finance,0x3f11bc2231f22056737d8bc5338c06bbb1637de54c71a65eed9d6500a8fbd1bc,1048.4,1143.5,1145.0
