project_name,phantoms_allocation,median_score,adjusted_score,final_score
Let's Get HAI,16359.786250056848,13586.7,14844.3,14844.3
Lido Finance,14450.952795047526,12835.3,14023.3,14023.3
Linkdrop,13804.356049616847,10091.0,11025.0,11025.0
Liquidify,3272.548061819666,1995.1,2179.8,2179.8
LlamaPay,786.5943137448098,623.3,680.9,680.9
LogX,65468.101917294865,60527.9,66130.3,66130.3
MYSTCL ($MYST),5607.270340669501,5023.7,5488.7,5488.7
Manifold,69725.25734873916,66589.9,72753.4,72753.4
Maverick Protocol,68229.00213665291,64167.9,70107.3,70107.3
Metronome,9435.055626611767,6725.9,7348.4,7348.4
MiniBridge,18971.639095124774,17691.4,19328.9,19328.9
Mintify,3015.6896616982954,2183.5,2385.6,2385.6
Mochimons,2989.2814457347254,2085.8,2278.8,2278.8
ModeChat.xyz | Onchain Social on Mode,13362.456461276031,10609.1,11591.1,11591.1
Moonwell,66729.22762029234,64059.2,69988.5,69988.5
Morkie,8375.810781202372,7699.8,8412.5,8412.5
Multicall3,54336.17871746787,48404.0,52884.3,52884.3
Multicaller,44671.091658034995,37021.8,40448.5,40448.5
NFT HOOK,23535.590065971526,20702.8,22619.0,22619.0
NFTs2Me,78727.91207967498,75429.3,82410.9,82410.9
NiftyKit,9385.745218479018,8915.0,9740.1,9740.1
Nogem,6199.059510892548,5295.5,5785.6,5785.6
Noggles ($NOGS),7716.425942963085,6057.6,6618.3,6618.3
ODOS,293835.9048874357,281095.8,307113.7,307113.7
ORA Onchain AI Oracle on Optimism,2588.4992019748784,1803.8,1970.8,1970.8
Oku Trade,2066.5146056244057,721.7,788.4,788.4
Omni X,18592.39462738669,16228.0,17730.1,17730.1
OmniHub,6083.136453415551,4970.5,5430.6,5430.6
Omnisea,12934.885287603982,11404.1,12459.7,12459.7
Onchain Blobs - Randomly generated onchain blobs minted via a Farcaster frame,6962.181051217653,5327.5,5820.6,5820.6
OpenOcean,40898.44775254915,36557.5,39941.2,39941.2
Opti.Domains,10097.839585685826,7140.1,7801.0,7801.0
OptiChads NFT Community,5147.147997755552,3699.2,4041.6,4041.6
Orderly Network,36853.438155070915,33652.8,36767.7,36767.7
Overnight Finance,33021.04712334935,27550.2,30100.2,30100.2
Owlto Finance,46443.61608511399,43637.0,47676.0,47676.0
PAWS Wildlife Room Onchain Vote in a Frame,4365.552552470447,2604.1,2845.1,2845.1
PRINT3R,7786.699964977973,6639.7,7254.2,7254.2
ParaSwap,45864.06442958433,42984.2,46962.8,46962.8
Paragraph,61223.93699759214,57184.3,62477.2,62477.2
Party.app + Party Protocol,121059.30115516877,114290.8,124869.5,124869.5
Perp V2 - Curie,151164.46368953332,126038.0,137703.9,137703.9
Pheasant Network,6923.563335840292,5864.8,6407.6,6407.6
Phi,31593.058115262174,29649.9,32394.3,32394.3
Pika Protocol,12057.091560648789,11147.8,12179.6,12179.6
PiraNFT,2285.4477562224833,1070.7,1169.8,1169.8
Pixotchi,4743.740391433254,3535.4,3862.7,3862.7
Polynomial Trade,11761.823445453314,11084.7,12110.6,12110.6
PoolTogether,15653.842590070992,13733.7,15004.8,15004.8
Portals,3667.2349616237407,3186.4,3481.3,3481.3
Preon Finance,1314.2961333766696,814.7,890.2,890.2
Pyth Network,1205.3375965474663,897.1,980.2,980.2
QiDao - Mai.Finance,4947.396760734206,4093.5,4472.3,4472.3
RMRK,5003.954322696942,3468.8,3789.8,3789.8
Rainbow (Rainbow Router),103542.20943383944,95159.8,103967.7,103967.7
Receipts,4746.188213705847,3539.3,3866.9,3866.9
Reserve Protocol,25602.63301385436,23166.2,25310.5,25310.5
Revert,9528.951744001048,7253.6,7925.0,7925.0
Router Protocol,19727.67443702685,18830.4,20573.3,20573.3
RubyScore,57052.66600378777,53015.7,57922.8,57922.8
Sablier,489.91216302202713,407.7,445.4,445.4
Scry Protocol,4369.024294608418,3082.6,3368.0,3368.0
Seamless Protocol,109470.08220991527,105600.0,115374.2,115374.2
Sequence,922.1041220028853,571.7,624.6,624.6
Slice,15815.946959697769,13419.5,14661.6,14661.6
Slugs,5903.17148617113,4928.7,5384.9,5384.9
Smol,37098.91508123788,32991.0,36044.7,36044.7
Sonne Finance,40757.93322379233,36802.9,40209.4,40209.4
Sound.xyz,246060.66082430878,229819.6,251091.5,251091.5
Speedtracer,18675.45425698788,15908.4,17380.9,17380.9
Splits,22516.460620082493,18324.5,20020.6,20020.6
Stargate Finance,343959.66937628784,333959.3,364870.2,364870.2
Streameth,6428.36501152675,4917.9,5373.1,5373.1
Sturdy,23277.506663363853,18931.1,20683.3,20683.3
Summer.fi,2622.3845950250366,1874.0,2047.4,2047.4
Superfluid,36478.43332987898,34655.8,37863.5,37863.5
Supswap,47133.77361335188,42924.0,46897.0,46897.0
Sushiswap,147695.4364301351,139817.8,152759.2,152759.2
SwapBased,23568.874479556587,21198.1,23160.2,23160.2
SwapMode,34325.06643557932,31501.2,34416.9,34416.9
Synapse Protocol,114964.91091583516,109664.8,119815.3,119815.3
Synonym Finance,1990.1481686186673,589.3,643.8,643.8
Synthetix,245529.24306893727,208304.6,227585.1,227585.1
TITLES,12255.072216236837,11178.9,12213.6,12213.6
TLX,7544.598104777705,6452.1,7049.3,7049.3
Talent Protocol,90.55179827729505,68.1,74.4,74.4
Tarot,73962.46230541788,63288.6,69146.5,69146.5
Thales Protocol,46066.61770300074,43752.3,47802.0,47802.0
The Open X Project,4679.256496313141,3688.8,4030.2,4030.2
Tiny Based Frogs,476.80501208216344,389.1,425.1,425.1
Tokepad,2116.95412807037,1371.6,1498.6,1498.6
Trash NFTs,3288.7680293259427,1569.8,1715.1,1715.1
UNCX Network,2685.0755897745753,1840.3,2010.6,2010.6
Umbra,3920.92656356221,3072.2,3356.6,3356.6
Union,3735.1209391947204,2492.2,2722.9,2722.9
Unitap,2411.1718904776985,1164.4,1272.2,1272.2
Unlonely,7117.351793163005,4875.5,5326.7,5326.7
Velocimeter/Graphene,6938.110257912688,5561.8,6076.6,6076.6
Velodrome Finance,100406.99919915925,95042.2,103839.2,103839.2
Vesper Finance,6126.7671993294725,3920.1,4282.9,4282.9
Virtuals Protocol,7794.069783126071,6708.0,7328.8,7328.8
WOOFi,96768.07195579518,92009.7,100526.1,100526.1
Whale,4362.641623276349,4097.8,4477.0,4477.0
Whimsical Euphoria: A White Inflatable Sheep,3920.240566845808,3500.6,3824.6,3824.6
XSwap,32680.291626368427,30485.2,33306.9,33306.9
Your Brians,4319.621273036743,2898.0,3166.3,3166.3
ZKP2P,2229.9249287528087,1206.8,1318.5,1318.5
Zerion,69498.96738226312,64612.2,70592.6,70592.6
Zerius,9414.90612818129,8600.7,9396.7,9396.7
Zeronym,55147.42734960806,48839.7,53360.3,53360.3
Zora,1394006.3094901,1334281.3,1457781.0,1457781.0
builder.fi,2068.399196931557,1356.7,1482.3,1482.3
dHEDGE,9784.23609561151,8529.2,9318.6,9318.6
deBridge,101230.24227388059,86224.2,94205.1,94205.1
doginme memecoin,10582.857044814562,10159.6,11099.9,11099.9
far.quest - Farcaster Super App,81808.72679375381,74344.5,81225.8,81225.8
fxhash,63395.77297152822,58974.8,64433.5,64433.5
iZUMi Finance,35170.47427181665,32079.3,35048.5,35048.5
pods.media,44991.49461786956,41214.8,45029.6,45029.6
sudoswap,15924.632416284217,14721.2,16083.8,16083.8
tanX - The World's Leading Institutional DEX,10100.488515185785,8382.8,9158.7,9158.7
zkBob smart contract privacy wallet,3489.2661402304993,2673.9,2921.4,2921.4
🏰 BuidlGuidl,17181.814171727525,14642.9,15998.2,15998.2
👑 King of the Degens 🎩 - Farcaster Frame Game,6868.267911334253,5816.2,6354.6,6354.6
