round,majoritarian_moving_phantoms_gini_index,r1_quadratic_gini_index,r2_mean_gini_index,r3_median_gini_index,r4_capped_median_gini_index
1,0.06494930788931266,0.027784455372660978,0.053678350314182326,0.07882560671502728,0.07882560671502728
2,0.06110941786725011,0.026615811265601683,0.053053710428928154,0.07460386799533666,0.07460386799533666
3,0.07178919448023197,0.03062137598021082,0.058857349955011816,0.08431763056231921,0.08431763056231896
4,0.06616947715213443,0.028564969132287118,0.05611495196806418,0.08105234393548923,0.081052343935489
5,0.06436829010217525,0.026652741750617128,0.05132023782919268,0.0787942001524832,0.0787942001524832
6,0.06588937824029674,0.02709215910587883,0.054306480475113966,0.07521711891942758,0.0752171189194278
7,0.0656389701177978,0.027075606548012,0.05359767143463639,0.0782255192072406,0.0782255192072406
8,0.06832907864120269,0.028722304272789437,0.05585319826044864,0.08304932480068569,0.08304932480068569
9,0.060473543162429685,0.02684082687828635,0.05216931633740452,0.0766401236408123,0.07664012364081231
10,0.06457594422407856,0.026887884297874472,0.05319063975523545,0.07600838326498253,0.07600838326498253
11,0.06552475447113147,0.028550425095966114,0.05654177093696067,0.07868380764065763,0.07868380764065763
12,0.05887775730666152,0.027230090240470045,0.05336635939581279,0.07742322365696573,0.07742322365696575
13,0.06435539255903888,0.027458356148736523,0.054734441972286,0.07682053977622845,0.07682053977622845
14,0.06545416277810998,0.027353463980354938,0.05344381665929036,0.07645863670366208,0.07645863670366208
15,0.06527914106152567,0.027713112487310385,0.054758931058993855,0.07857267613061361,0.07857267613061361
16,0.06870013017970648,0.0285232761064093,0.0553594350436245,0.08129353012994701,0.08129353012994724
17,0.0643114523275623,0.02673947239625912,0.052992394126569115,0.07763925331834452,0.07763925331834452
18,0.06742919037894415,0.027679724880940126,0.05462382984072193,0.08028014293348706,0.08028014293348665
19,0.060834450729107446,0.02570289781963558,0.05058753611427267,0.07367847820238149,0.07367847820238149
20,0.06412961284805523,0.02762719507544796,0.05415708601435621,0.07866476865387623,0.07866476865387623
21,0.06430156410685642,0.027754686382481852,0.054718313746771295,0.07854954596088866,0.07854954596088887
22,0.0700832138484139,0.029033062480931165,0.05577697660963122,0.08097707461586841,0.08097707461586841
23,0.06309917070092154,0.02717783489294625,0.0536224779119538,0.07952912044128412,0.07952912044128412
24,0.06383507537194318,0.026922363281330543,0.05366115626347795,0.07608835783641162,0.07608835783641162
25,0.06710549079672096,0.029222623338949177,0.05727966716320568,0.08273017658394005,0.08273017658394005
26,0.06317080888794996,0.02732262905975996,0.0531521316624707,0.07790749925609405,0.07790749925609405
27,0.057867022034621934,0.025076383148937235,0.049704989579654066,0.07508288820512858,0.07508288820512835
28,0.0671432814974607,0.028755573841828676,0.056136426300299504,0.08237522263941703,0.08237522263941703
29,0.06492242674515175,0.026512491301301087,0.05293045987222754,0.07493137648676064,0.07493137648676064
30,0.06547076666876019,0.029321239045639443,0.056755112201068665,0.08016529595467485,0.08016529595467485
31,0.06277770998764128,0.026891086847427362,0.0529629419239114,0.07507313437885564,0.07507313437885588
32,0.07039821558129554,0.02997272274037701,0.058713448731560154,0.08434941532167797,0.0843494153216782
33,0.06596854921708381,0.02755471771801909,0.053217813085517325,0.08054079088891432,0.08054079088891432
34,0.06342740723352891,0.027841441626533927,0.05574891961618661,0.07672396359727181,0.07672396359727181
35,0.0631433212662771,0.02642237751639088,0.052721398717634024,0.07773709555794052,0.07773709555794052
36,0.0671371801016547,0.028771172601692634,0.05629162098912217,0.08075029473167272,0.08075029473167296
37,0.06739697065577195,0.027086767529276978,0.052870164925377786,0.07929316315390965,0.07929316315390923
38,0.06649514302824548,0.026957895815254217,0.05318274656478393,0.07498969338474437,0.07498969338474437
39,0.06525737495053671,0.028524337894428677,0.05538902449966581,0.07932811291945006,0.07932811291944983
40,0.06584312649356881,0.02722917749322787,0.05411172059668413,0.07775218662981667,0.07775218662981667
41,0.0663086416785004,0.02858472693807198,0.056255641165215364,0.07698066284303966,0.07698066284303966
42,0.06324525426631786,0.028037353611924064,0.05476036973079235,0.08296771057083158,0.08296771057083158
43,0.06794406639510144,0.02872969167783439,0.05709415656367724,0.07883494992228376,0.07883494992228376
44,0.06628287933901705,0.027304421485578555,0.05390228904445582,0.07870794169860905,0.07870794169860905
45,0.06575445993502238,0.02859279649968189,0.05501926413107386,0.07935001016095973,0.07935001016095973
46,0.06370215779383324,0.027490796030925756,0.054438264105512675,0.07829818483434396,0.07829818483434396
47,0.06432844181071211,0.02739658760590468,0.05380121816689978,0.07493769162310243,0.07493769162310243
48,0.06930482313317107,0.03008297371186108,0.05862376066088226,0.08196520316285766,0.08196520316285788
49,0.06819536395390212,0.028583551491473503,0.05529304809981937,0.08033495865509839,0.08033495865509861
50,0.06798308410465273,0.028738497347468264,0.05612285457312778,0.0801186572427245,0.0801186572427245
51,0.06750985937383365,0.029568173080433302,0.05815558902329379,0.07916909217174847,0.07916909217174847
52,0.06190224925495443,0.02700708677597175,0.053872719813637816,0.07371942481831611,0.07371942481831587
53,0.06387899582781031,0.02850815541378976,0.056725826796062646,0.07955290249849614,0.07955290249849614
54,0.06468663651371535,0.02926556566893683,0.05914345326136842,0.07962090479880535,0.07962090479880535
55,0.06421095911967604,0.027058121274700593,0.053650698003648065,0.07733623792442325,0.07733623792442325
