round,voting_rule,max_vev,project_max_vev,project_max_vev_percentage,project_max_original_allocation,project_max_new_allocation,project_max_allocation_percentage
1,majoritarian_moving_phantoms,130935.92927120985,0.0009527889030086626,0.0009527889030086626,67825.0776425178,75447.3888665871,0.009430923608323389
1,r1_quadratic,64895.17537331049,0.0022853951799037494,0.0022853951799037494,48244.43019222004,66527.59163145004,0.008315948953931255
1,r2_mean,395610.5563924967,0.024725659774530968,0.024725659774530968,36340.55910725882,234145.83730350656,0.02926822966293832
1,r3_median,150113.39203720202,0.0007333380974128668,0.0007333380974128668,286108.3704282807,291975.0752075836,0.03649688440094795
1,r4_capped_median,153725.73788034,0.0008040821583606757,0.0008040821583606757,41292.20778698565,47724.86505387106,0.005965608131733882
2,majoritarian_moving_phantoms,174088.12856953003,0.0007302276426461294,0.0007302276426461294,63130.283691723474,68972.10483289251,0.008621513104111564
2,r1_quadratic,63448.519252093676,0.002289138485582351,0.002289138485582351,39778.686085336485,58091.79396999529,0.007261474246249411
2,r2_mean,395933.7381494414,0.024745858634340083,0.024745858634340083,28129.061048112766,226095.93012283344,0.02826199126535418
2,r3_median,149760.62648912,0.0006662670238203973,0.0006662670238203973,63110.47006132919,68440.60625189237,0.008555075781486546
2,r4_capped_median,148991.2246071006,0.0005518792462271458,0.0005518792462271458,39069.02696716611,43484.060936983275,0.005435507617122909
3,majoritarian_moving_phantoms,146443.4104367512,0.0008555930114826378,0.0008555930114826378,40302.87737977416,47147.62147163526,0.005893452683954407
3,r1_quadratic,65430.04001439969,0.0022885816550171105,0.0022885816550171105,39400.76806496791,57709.42130510479,0.007213677663138099
3,r2_mean,395962.2407068996,0.02474764004418127,0.02474764004418127,29009.56322131612,226990.68357476627,0.028373835446845783
3,r3_median,154212.4832673222,0.0004789346575936088,0.0004789346575936088,27552.66347226319,31384.14073301206,0.003923017591626507
3,r4_capped_median,160429.98596321075,0.0005833025702745217,0.0005833025702745217,44215.12093317871,48881.541495374884,0.006110192686921861
4,majoritarian_moving_phantoms,147559.35527302165,0.0011167294798835245,0.0011167294798835245,52330.88812537203,61264.72396444023,0.007658090495555029
4,r1_quadratic,64714.39744215297,0.002288898230780479,0.002288898230780479,39510.579447489385,57821.76529373322,0.007227720661716652
4,r2_mean,395666.843750912,0.024729177734432,0.024729177734432,34613.05298067469,232446.4748561307,0.029055809357016335
4,r3_median,142496.16712886933,0.0007793937710787031,0.0007793937710787031,76894.97491471097,83130.1250833406,0.010391265635417575
4,r4_capped_median,143877.21480774926,0.0005232474025436223,0.0005232474025436223,66733.62880639464,70919.60802674362,0.008864951003342952
5,majoritarian_moving_phantoms,158221.7455474317,0.0009791477884495544,0.0009791477884495544,119055.4316129657,126888.61392056213,0.015861076740070267
5,r1_quadratic,61232.75372928844,0.0022967477939328947,0.0022967477939328947,36029.61545253978,54403.59780400294,0.006800449725500367
5,r2_mean,395939.3896374452,0.02474621185234034,0.02474621185234034,26291.679092086804,224261.37391080952,0.02803267173885119
5,r3_median,147288.22060322127,0.00043948290489780766,0.00043948290489780766,24256.724503106772,27772.587742289234,0.0034715734677861544
5,r4_capped_median,143763.23128413386,0.0006609217017156953,0.0006609217017156953,76612.55339335844,81899.927007084,0.0102374908758855
6,majoritarian_moving_phantoms,145834.1966854047,0.0010534382983726181,0.0010534382983726181,49358.488962146715,57785.99534912766,0.007223249418640958
6,r1_quadratic,66878.49657208064,0.0023285396076002454,0.0023285396076002454,41776.07205499172,60404.38891579368,0.00755054861447421
6,r2_mean,395765.23021381017,0.024735326888363142,0.024735326888363142,33319.80786944311,231202.42297634826,0.028900302872043534
6,r3_median,153717.49704333002,0.0005846736392365919,0.0005846736392365919,30505.644276250452,35183.03339014319,0.004397879173767899
6,r4_capped_median,158830.68470353176,0.0006158006351431086,0.0006158006351431086,50408.26791204414,55334.67299318901,0.006916834124148626
7,majoritarian_moving_phantoms,142720.39743090596,0.0011690131473963538,0.0011690131473963538,81308.3062446169,90660.41142378774,0.011332551427973467
7,r1_quadratic,65974.79467379513,0.002291703820243252,0.002291703820243252,40912.44175679512,59246.072318741135,0.007405759039842642
7,r2_mean,395971.4710196609,0.024748216938728855,0.024748216938728855,26548.050187837624,224533.78569766847,0.028066723212208558
7,r3_median,157636.51873571097,0.0007424054153496909,0.0007424054153496909,163257.99558779778,169197.2389105953,0.02114965486382441
7,r4_capped_median,156775.00249408936,0.0005047782364819722,0.0005047782364819722,85316.94435887059,89355.17025072637,0.011169396281340796
8,majoritarian_moving_phantoms,163268.02279357478,0.0008520145469982022,0.0008520145469982022,29750.467984277046,36566.58436026266,0.004570823045032833
8,r1_quadratic,67408.51101226777,0.0023174894136035046,0.0023174894136035046,34874.91238610645,53414.82769493449,0.006676853461866811
8,r2_mean,395809.2302335586,0.024738076889597404,0.024738076889597404,36221.93576701045,234126.5508837897,0.029265818860473712
8,r3_median,156311.77911731316,0.0004488211614579777,0.0004488211614579777,82583.43444236921,86174.00373403303,0.010771750466754128
8,r4_capped_median,156888.6358577483,0.0006257042838243396,0.0006257042838243396,146221.29542178658,151226.9296923813,0.018903366211547663
9,majoritarian_moving_phantoms,159730.15749442298,0.0010540537123311252,0.0010540537123311252,19774.352147371184,28206.781846020185,0.003525847730752523
9,r1_quadratic,66951.36249465529,0.0023174265815234657,0.0023174265815234657,41942.461367351745,60481.87401953947,0.007560234252442434
9,r2_mean,395775.97540261276,0.02473599846266334,0.02473599846266334,29207.776339851243,227095.76404115796,0.028386970505144746
