round,desired_increase,majoritarian_moving_phantoms_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost
1,1,1.2522625315719274,2.7935087242758363,1.0596067574839387,0.7706230963519554,0.7706230963519554
2,1,0.8647895022757769,2.0440479144700165,0.8647895022757769,0.7075550473165447,0.7075550473165447
3,1,1.483198222726751,4.719267072312391,1.483198222726751,1.2321994190802281,1.2321994190802281
4,1,1.9377193084918114,3.629005761639792,1.2877117218721843,1.0535823178954236,1.0535823178954236
5,1,1.0730915478447705,2.6339519810735266,1.0730915478447705,0.7804302166143784,0.8779839936911757
6,1,1.6471399431316283,4.261267000692973,1.4204223335643253,1.4824259488184655,1.4824259488184655
7,1,1.0394194768069676,2.7518286209557172,1.0394194768069676,0.8845163424500515,0.8845163424500515
8,1,1.4581784447150892,3.0135687857445186,1.0693308594577318,0.9721189631433925,0.9721189631433925
9,1,1.8095712734942373,4.825523395984635,1.7208343807215598,1.14126927996718,1.3314808266283766
10,1,1.2764171714750872,2.8473921517521164,1.0800452989404585,1.2764171714750872,1.2764171714750872
11,1,0.977883439974744,2.2056792724339287,0.9704988798709282,0.5867300639848465,0.5867300639848465
12,1,1.118866454116593,2.742003593856263,0.9729690171748023,0.821139124350537,0.8845172883407294
13,1,1.387497064300365,4.131512551457143,1.4660205827751143,1.2487473578703285,1.2487473578703285
14,1,0.8709894538240376,3.823514623227326,1.502095030553592,0.8709894538240376,0.8709894538240376
15,1,1.962763052668971,4.544297084023457,1.470213762478177,1.2750737437136763,1.2750737437136763
16,1,1.837259935912006,2.4914203177665226,1.0962249398172692,0.3986272508426434,0.3986272508426434
17,1,2.1095097281980357,4.1330731159301015,1.3776910386433667,1.252446398766697,1.252446398766697
18,1,0.7167557267016057,2.3294561117802197,0.8673110057458412,0.4479723291885036,0.4479723291885036
19,1,0.8913095459640451,2.2318831224916593,0.7919585273357507,0.6479660678201596,0.6479660678201596
20,1,1.905415615802828,3.293784070530823,1.3935240298399645,0.8867880189890682,0.8867880189890682
21,1,1.3970295627533622,3.1339408344545134,1.1120435219032139,1.057143628702932,1.057143628702932
22,1,1.0995682960807445,3.6652276536024795,1.3439168063209097,0.855219785840579,0.855219785840579
23,1,1.5895396203465957,4.106310685895372,1.4334635897262815,1.0596930802310638,1.0596930802310638
24,1,1.493581159790403,4.3215411841625455,1.3981456772290595,1.163709147398661,1.163709147398661
25,1,1.472641394555768,3.1416349750523027,1.0799370226742298,0.7886978727496091,0.7886978727496091
26,1,1.1905170509503493,2.5511079663221774,0.9354062543181318,0.8503693221073926,0.8503693221073926
27,1,1.597456106569126,3.9263212677468764,1.439651131507187,1.1980920799268446,1.1980920799268446
28,1,1.9183568978994812,4.491669043689272,1.9182878030209694,0.7186670469902835,0.7186670469902835
29,1,1.1491885263330794,2.6267166316184656,0.9029338421188483,0.6687831380175961,0.6687831380175961
30,1,0.9040442855106688,2.5477611682573382,0.9040442855106688,0.7396725972360018,0.7396725972360018
31,1,1.3649037830362332,3.1847754937512107,1.251161801116547,0.9416559776003671,0.9416559776003671
32,1,1.8818240135584121,4.390922698302962,1.8818240135584121,1.7121610718231104,1.8833771790054215
33,1,1.7185840701594222,3.1646975523008325,1.1815265482346025,0.8730200144278158,0.8730200144278158
34,1,1.1477761000004503,3.9024387400015277,1.2625537100004953,0.8482850603082891,0.8482850603082891
35,1,1.8369357164282332,2.7554035746423504,1.122571826706142,1.0205198424601292,1.0205198424601292
36,1,1.2544196195776807,3.5351825642643755,1.2544196195776807,1.0263433251090115,1.0263433251090115
37,1,1.2557248303123927,3.7671744909371783,1.2557248303123927,1.1415680275567206,1.2557248303123927
38,1,0.8341561649256057,2.168806028806575,0.9175717814181663,0.5004936989553634,0.5004936989553634
