round,normalized_median_gini_index,r1_quadratic_gini_index,r2_mean_gini_index,r3_median_gini_index,r4_capped_median_gini_index
1,0.0783178124269383,-0.00925536148933042,0.06378284712967407,0.07831781242693829,-0.1
2,0.13999047725788727,0.020115762857691386,0.10764396472609376,0.1399904772578875,-0.1
3,0.30883016545958036,0.09739198550501725,0.2899426121273216,0.3088301654595802,-0.1
4,0.1899466544212412,0.02925445142815038,0.14173199703991582,0.18994665442124126,-0.1
5,0.20847214204949308,0.03927487760854159,0.1678641242715744,0.20847214204949308,-0.1
6,0.13456161714497228,0.033462712347031014,0.1375672068609899,0.1345616171449723,-0.1
7,0.1463629826334676,0.02507979963845983,0.1330512378976576,0.1463629826334676,-0.1
8,0.11789225219382607,-0.0005118608711771668,0.0857264659573881,0.11789225219382607,-0.1
9,0.23945708814232686,0.061858420384326214,0.17487582788819728,0.23945708814232686,-0.1
10,0.11912645908778943,0.0032703035104705027,0.0938480270814752,0.11912645908778943,-0.1
11,0.0608495977092063,-0.016524966501537147,0.05533852778833415,0.0608495977092063,-0.1
12,0.24322761870277101,0.05127272823849489,0.1840133799467869,0.24322761870277101,-0.1
13,0.2496281900898749,0.07765817899656818,0.21164885678613815,0.24962819008987486,-0.1
14,0.18046777915999368,0.042633009035165606,0.16216629569237642,0.1804677791599937,-0.1
15,0.18698020737755858,0.03599207288537491,0.14359122614572603,0.18698020737755858,-0.1
16,0.23646853461416648,0.05443768857452663,0.18252600764267202,0.2364685346141662,-0.1
17,0.22697966942763642,0.06164662584970463,0.22460214301283957,0.22697966942763642,-0.1
18,0.15916466848026495,0.018256689578625748,0.09883662183350528,0.15916466848026478,-0.1
19,0.11626896146619173,0.014031495947769658,0.10421566211343482,0.11626896146619173,-0.1
20,0.05745841705350635,-0.007796880607397667,0.08139457304337286,0.05745841705350635,-0.1
21,0.1063385303603068,-0.0005348388208759948,0.07114826259750145,0.1063385303603068,-0.1
22,0.24111561257127473,0.06730027943630425,0.19126185862208142,0.24111561257127473,-0.0809900636579281
23,0.19564474403060875,0.0460105887689473,0.15830338316999598,0.19564474403060875,-0.1
24,0.17671724324804694,0.03791719101286326,0.1512330365752213,0.17671724324804713,-0.1
25,0.0764135949305348,-0.014034528024719472,0.07813968515578469,0.0764135949305348,-0.1
26,0.18423416819930039,0.04050115666268597,0.16629588707989507,0.18423416819930036,-0.1
27,0.2470694267533403,0.07044555162367021,0.2151789916953679,0.2470694267533405,-0.09810651459629553
