round,desired_increase,majoritarian_moving_phantoms_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost,desired_increase_percentage
1.0,1.0,2367.0963398494623,4734.192679698925,2367.0963398494623,2367.0963398494623,2367.0963398494623,1.0
1.0,4.222222222222222,6573.64854956114,40768.64933619712,9059.699852488251,3286.82427478057,0.0,4.222222222222222
1.0,7.444444444444445,15733.067827339257,176997.01305756683,27532.8686978437,7866.533913669628,7866.533913669628,7.444444444444445
1.0,10.666666666666668,3721.7105605671013,419957.991753756,12405.701868557006,2481.140373711401,0.0,10.666666666666668
1.0,13.88888888888889,37345.07913335674,2524758.9702813313,40457.16906113647,24896.719422237828,21784.6294944581,13.88888888888889
1.0,17.11111111111111,19281.135975806796,5777712.084468364,30849.81756129087,8244.68797438471,0.0,17.11111111111111
1.0,20.333333333333336,9584.566656892866,8000000.0,30351.12774682742,7987.138880744055,0.0,20.333333333333336
1.0,23.555555555555557,50411.960833765224,8000000.0,55453.15691714174,35288.37258363567,35288.37258363567,23.555555555555557
1.0,26.77777777777778,46044.24914489305,8000000.0,53104.69457142594,15348.083048297689,0.0,26.77777777777778
1.0,30.0,11350.847512709912,8000000.0,35313.74781731974,8828.436954329933,0.0,30.0
