r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
95719.39510001424,108744.71335424125,122666.79350570744,122927.33756623979,Project 1
19109.824691113266,6255.601832042024,1829.0154801628566,1832.9003059283232,Project 2
35414.525362931454,22340.008731349175,9977.265790264684,9998.457485814182,Project 3
155158.5542050784,284135.7062477007,305993.8239492563,306643.7543102863,Project 4
1873.837143556588,173.24497067222043,0.25802694485909544,0.0,Project 5
4523.021487764308,1020.8229834932237,1.3076249584471462,0.0,Project 6
35154.98758102588,16311.14473662264,16371.381567061475,16383.162572738383,Project 7
16663.451795106655,4086.0006506944774,2836.696955232081,2842.7220947347414,Project 8
54593.17417236983,37108.41574120869,39875.88283438531,39960.579141625945,Project 9
44383.83123869028,23622.396292794558,23616.34498434273,23666.506060876196,Project 10
53775.78813484931,36619.04747468218,37236.65339491836,37315.74398332358,Project 11
15136.109181172782,4065.7348973058142,1173.036703351829,1175.528231312332,Project 12
21023.369526897008,5698.040430681755,5391.325714672962,5402.7768813107205,Project 13
130545.19531206573,250818.49266301322,196768.31349708966,193064.87162947137,Project 14
72976.00495911916,64194.4039951099,64884.21982462246,65022.03379704682,Project 15
128074.62854980397,202891.64156433943,179841.05310743718,180223.0351980088,Project 16
48354.76957775365,29182.261819804058,28060.544801921053,28120.145351299583,Project 17
5851.304596289794,967.7192193057966,110.55633597839807,0.0,Project 18
14923.0159580775,4034.6748226966747,1294.4131784615709,1297.1625098485306,Project 19
18737.527245349585,5130.276128520601,5026.3074402983775,5036.983308742908,Project 20
9658.656142440694,1796.9684501195559,400.783299132665,0.0,Project 21
16851.357757569353,4618.460566682908,2024.4966454600508,2028.7966728877489,Project 22
25338.98908926713,9081.948356966313,7118.387318688091,7133.506761231982,Project 23
52081.407009839924,33719.305757882554,32084.807440377495,32152.95551674769,Project 24
52587.74867340546,33721.4203359969,33974.53288582711,34046.694735825666,Project 25
38738.34411159867,20010.24783173601,17381.90196866877,17418.821098852783,Project 26
31269.28268413073,13855.84044606567,11827.108440320726,11852.229198509078,Project 27
58666.50528612831,41723.136204700684,43581.4557935171,43674.02273141319,Project 28
12791.227900218099,2770.0002330887096,804.7532850541335,0.0,Project 29
15616.861249836002,3478.379562285311,2781.2610498147046,2787.168443548653,Project 30
12834.201107309438,2739.6961262995733,1053.0884103382798,1055.3251683286671,Project 31
65119.498528917655,52984.79707091471,50502.932557562526,50610.200700319736,Project 32
7265.3440650105495,1212.7269710634398,111.7236708565738,0.0,Project 33
7828.714549284108,1203.7605492249743,223.36527638897576,0.0,Project 34
16741.82506228443,4729.317877648515,1685.3147188799014,1688.8943244730926,Project 35
13155.347279101896,3180.8224737495566,686.334580619648,0.0,Project 36
69559.37271587824,60639.95172387677,62047.32375827733,62179.112168287356,Project 37
17316.065826783735,4211.506327264411,3030.4871934505436,3036.9239430891994,Project 38
8277.045681812406,1500.1358195054186,204.49719746268457,0.0,Project 39
46668.210289270435,26144.046569633723,26755.998353058592,26812.828048001084,Project 40
22723.80874864705,6706.582951961457,6182.424231836556,6195.555690377708,Project 41
17051.5173731592,4082.3838122699576,3016.5656987276543,3022.9728791352236,Project 42
96650.04546631867,112258.36298336508,123075.38210803778,123336.79401006573,Project 43
41996.3354636505,22240.583698654773,24179.440106287493,24230.797195901134,Project 44
47266.17975251962,30994.539220893195,27481.620291069776,27539.991205773025,Project 45
12899.918986217868,2946.2362149838964,742.446847437864,0.0,Project 46
41623.99520743933,24016.367624398365,21732.250195960045,21778.409458371163,Project 47
23733.180287222913,8173.321082267807,7256.786116329786,7270.988705716844,Project 48
19931.77648958015,5498.495666682912,3937.462524213526,3945.8256879103487,Project 49
52322.719936012065,33157.02211617377,35165.297447297155,35239.988479196676,Project 50
66751.14419412121,53826.57762711369,54772.64211959346,54888.97911819007,Project 51
33661.983637133686,16095.541493170676,12809.386038787658,12836.593152922558,Project 52
19312.12724012465,6037.53180848409,4665.370401439513,4675.279640228102,Project 53
20669.065988413604,6528.344624193771,3643.62229922769,3651.361346786986,Project 54
14600.011160827711,3802.922895131227,1433.8068251543732,1402.3065804855535,Project 55
59329.229985898506,42125.36016919957,43831.65198990418,43924.75034409535,Project 56
11547.685048933405,2231.614009716759,1016.5553492644193,1018.7145110952933,Project 57
19956.478729689814,5661.140961023258,5440.898030700097,5452.454488852687,Project 58
35766.63771815598,15759.05164572552,16217.558697792701,16252.004764851983,Project 59
16746.72405324097,4767.899548011756,2646.969073263322,2568.9373832414512,Project 60
10907.2671296112,2708.4138740473727,347.3831642053418,0.0,Project 61
8663.967866614666,1435.8457989705016,345.5287891001868,0.0,Project 62
67161.8590177039,55113.41197605712,55478.57529252009,55596.411691973946,Project 63
24928.340129429493,7797.7460809975055,8164.98057462051,8182.322979457891,Project 64
99985.37490439811,122949.58120262282,130492.17228939019,130769.33744113424,Project 65
16756.526560038674,4976.105485530031,3716.7091928480745,2409.1282455078667,Project 66
