round,majoritarian_moving_phantoms_gini_index,r1_quadratic_gini_index,r2_mean_gini_index,r3_median_gini_index,r4_capped_median_gini_index
1,0.22002555787721131,0.11604134302666702,0.2259575369998262,0.2675082947479097,0.21575877893819378
2,0.20457167883838528,0.11226026325991587,0.21000010744659867,0.2448444618144365,0.21780214857349625
3,0.23607544404439154,0.11916121626745269,0.23260756994478338,0.27971017404032195,0.21012577553460607
4,0.20894992469258591,0.1127700058822721,0.21937546813731743,0.2515257857951064,0.21116971502644097
5,0.21686119962840322,0.11794792186789987,0.2205920540077096,0.2587911505525625,0.22601426088812748
6,0.25038878816424714,0.1314859985505151,0.25117676061786837,0.29426614753142916,0.2246118449716485
7,0.2121704690075116,0.11056112608561702,0.20969345372545395,0.2536623005304155,0.21116920083551732
8,0.21957350812970952,0.12063125045896858,0.22923966335666307,0.25596538589175505,0.20699723453775973
9,0.23321148067591266,0.12395100622553477,0.2351355812561141,0.2804446026003058,0.2340771338716888
10,0.24109246466646067,0.12424149291378354,0.2394471643134699,0.28262008088915924,0.21726929309426185
11,0.28035232500836105,0.14461939348387834,0.28078476960958854,0.34239426570061776,0.23553478241016573
12,0.2431730477845252,0.12738267426823127,0.24407493300754377,0.2969431964706733,0.22704933323713142
13,0.22686357231940452,0.12209656223913105,0.23609329358662628,0.26975001040070595,0.21258310051749024
14,0.23048000781772549,0.12176816417897691,0.2352197644891688,0.2761972404670671,0.20689274771252814
15,0.23945277858144545,0.12803670274402792,0.25263237365275804,0.2931879542523064,0.21687379684914826
16,0.2481074398248012,0.12814205614423455,0.24637206450669236,0.2925199910628433,0.2295587584943359
17,0.23611874857150567,0.1250852380045956,0.24175240194343844,0.2861627566817707,0.21698084715977264
18,0.2187357089868314,0.10753349568771978,0.21360835406631354,0.2641780582234841,0.19574158328847402
19,0.24347359643523603,0.13076761065993592,0.24575311694294852,0.29450853296376767,0.22970925428445738
20,0.2545097825953022,0.13412544937889045,0.25496078412848117,0.3026305869532264,0.22675138149904123
21,0.2462461128126434,0.12353019542139074,0.23658859038711375,0.2895237359296732,0.22168769082066397
22,0.2101522785786143,0.11204864978455586,0.22016307983817757,0.25449219133524836,0.1995063931601696
23,0.24267027043041464,0.12856012080032628,0.24249235882254885,0.2824853654762567,0.22390675001643687
24,0.20199063183323557,0.10884565536695547,0.20252807624990907,0.24597398763114892,0.21287661592241247
25,0.25848145648490883,0.13663743593533412,0.26565717903865904,0.30914837638033227,0.22751825835580922
