project_name,phantoms_allocation,median_score,adjusted_score,final_score,median_allocation
NFT HOOK,23535.590065971526,24876.6,27132.3,27168.0,25436.61799333013
Gamma,24503.66890458183,24830.7,27082.2,27117.9,26973.376150381606
SwapBased,23568.874479556587,24421.2,26635.5,26670.6,26045.769439149022
Catalog Radio,22052.72608287332,24264.4,26464.5,26499.4,24456.262733936084
Hedgey,23038.897904017827,24186.5,26379.6,26414.3,25577.042675360353
Sturdy,23277.506663363853,22780.6,24846.2,24878.9,23260.270831117625
Guild.xyz,21079.5735591298,22772.9,24837.9,24870.6,23562.684836637043
Router Protocol,19727.67443702685,21519.9,23471.3,23502.2,23136.542143464176
MiniBridge,18971.639095124774,21385.1,23324.2,23354.9,21737.079546899346
Splits,22516.460620082493,21380.3,23319.0,23349.7,22514.958982426295
Hypersub,20465.61239047436,20962.2,22862.9,22893.1,22353.38746339729
Speedtracer,18675.45425698788,18976.6,20697.3,20724.5,19546.410478611677
Omni X,18592.39462738669,18844.0,20552.7,20579.8,19938.641272471905
BMX by Morphex,19899.120509957822,18194.9,19844.7,19870.8,19560.62338359715
🏰 BuidlGuidl,17181.814171727525,17060.1,18607.0,18631.5,17991.742037024705
sudoswap,15924.632416284217,16855.9,18384.3,18408.5,18087.677391543613
DackieSwap,15732.193077737555,16711.7,18227.0,18251.0,18250.336382100933
Loot2,16380.132799854875,16632.3,18140.4,18164.3,18397.621233889913
Guac (Farcaster),15459.323441732226,16575.0,18077.9,18101.7,17585.566669479926
Slice,15815.946959697769,16369.6,17854.0,17877.5,16488.354488160923
Let's Get HAI,16359.786250056848,16070.4,17527.5,17550.6,16693.785436983184
PoolTogether,15653.842590070992,16015.3,17467.5,17490.5,16874.596464998158
Lido Finance,14450.952795047526,15450.6,16851.5,16873.7,15770.480757462716
Equalizer,14186.794230950996,14409.4,15715.9,15736.6,15940.667790668827
EthXY,14032.501669413314,13940.2,15204.2,15224.3,15625.99280407133
Omnisea,12934.885287603982,13202.8,14400.0,14418.9,14012.031360389792
Coordinape,15371.600756520747,13052.0,14235.4,14254.2,14414.968887264802
Polynomial Trade,11761.823445453314,12816.0,13978.1,13996.5,13619.52180044778
TITLES,12255.072216236837,12698.2,13849.6,13867.8,13735.352687595767
Pika Protocol,12057.091560648789,12510.4,13644.7,13662.7,13696.819420788428
BSX,12420.755513313869,12381.3,13504.0,13521.8,13309.56844280262
Linkdrop,13804.356049616847,11802.7,12872.9,12889.8,12398.629853594524
ModeChat.xyz | Onchain Social on Mode,13362.456461276031,11711.5,12773.5,12790.3,13035.200471820808
doginme memecoin,10582.857044814562,11683.1,12742.4,12759.2,12482.600353736014
Keng Lernitas,10203.824340704094,10797.1,11776.1,11791.6,11160.574312696433
Biconomy,10672.65686329206,10249.4,11178.8,11193.5,11227.858658575027
tanX - The World's Leading Institutional DEX,10100.488515185785,10085.4,10999.9,11014.4,10299.845634782838
NiftyKit,9385.745218479018,10051.1,10962.5,10976.9,10953.657546115097
Zerius,9414.90612818129,9887.0,10783.6,10797.8,10567.49108580945
dHEDGE,9784.23609561151,9574.3,10442.4,10456.2,10479.46647334159
Get Mint,8941.502171928167,9355.0,10203.2,10216.7,10023.979995405682
Morkie,8375.810781202372,8822.7,9622.7,9635.4,9460.571113643964
Metronome,9435.055626611767,8781.3,9577.5,9590.2,8263.94865388146
DefiLlama,7819.980338928652,8475.3,9243.8,9256.0,9188.41391709799
Opti.Domains,10097.839585685826,8305.1,9058.2,9070.1,8772.947135550108
Exactly Protocol,7993.501270540865,7966.9,8689.3,8700.7,8078.912520444549
Virtuals Protocol,7794.069783126071,7789.1,8495.3,8506.5,8241.95079517959
Revert,9528.951744001048,7735.6,8437.1,8448.2,8912.392468310069
Aura Finance,7827.868237595003,7699.4,8397.5,8408.6,8010.636217510915
TLX,7544.598104777705,7554.4,8239.4,8250.3,7927.560183543784
PRINT3R,7786.699964977973,7526.0,8208.4,8219.3,8158.033454809898
Circle.tech,7639.914919850456,7310.0,7972.8,7983.3,8165.022815940831
Pheasant Network,6923.563335840292,6854.9,7476.4,7486.3,7205.9496880741635
Noggles ($NOGS),7716.425942963085,6778.2,7392.8,7402.5,7442.884208332621
Blob Farm,6644.298651795123,6624.6,7225.3,7234.8,6957.355542251834
👑 King of the Degens 🎩 - Farcaster Frame Game,6868.267911334253,6462.9,7048.9,7058.2,7146.278142831649
Velocimeter/Graphene,6938.110257912688,6347.4,6923.0,6932.1,6833.677733458462
Streameth,6428.36501152675,6174.1,6733.9,6742.8,6042.491740501837
Nogem,6199.059510892548,6171.1,6730.7,6739.6,6506.441487277976
Harvest Finance,8353.15977395127,6120.9,6675.9,6684.7,6969.38226487813
Onchain Blobs - Randomly generated onchain blobs minted via a Farcaster frame,6962.181051217653,6056.6,6605.8,6614.5,6545.746538643814
3DNS,5669.63140446023,5803.9,6330.1,6338.5,6067.097377094903
MYSTCL ($MYST),5607.270340669501,5769.6,6292.7,6301.0,6172.577012233923
Slugs,5903.17148617113,5718.8,6237.4,6245.6,6055.775998179188
DackieNFT,5588.570253461836,5684.8,6200.2,6208.4,6122.883297749904
OmniHub,6083.136453415551,5579.1,6085.0,6093.0,6107.185566846694
Unlonely,7117.351793163005,5415.7,5906.8,5914.6,5990.379067799164
Arcadia Finance,5254.76422364308,5259.3,5736.2,5743.8,5656.3261619515215
Vesper Finance,6126.7671993294725,4689.5,5114.7,5121.4,4816.591424622299
OptiChads NFT Community,5147.147997755552,4652.2,5074.0,5080.7,4545.1525304564175
Whale,4362.641623276349,4587.5,5003.4,5010.0,5034.842021092577
QiDao - Mai.Finance,4947.396760734206,4534.6,4945.8,4952.3,5029.555195086607
