project_name,phantoms_allocation,median_score,adjusted_score,final_score,median_allocation
Wormhole Foundation,24346.75388957304,21630.1,23632.2,23632.2,23632.188110955878
L2Pass,23605.15440703413,21319.8,23293.1,23293.1,23292.63768711654
SwapBased,23568.874479556587,21198.1,23160.2,23160.2,23160.23956530486
Hedgey,23038.897904017827,20816.6,22743.4,22743.4,22743.441583376236
NFT HOOK,23535.590065971526,20702.8,22619.0,22619.0,22618.57411557882
Catalog Radio,22052.72608287332,19904.6,21746.9,21746.9,21746.82936948026
Guild.xyz,21079.5735591298,19177.2,20952.2,20952.2,20952.248191141174
Sturdy,23277.506663363853,18931.1,20683.3,20683.3,20683.33769371484
Router Protocol,19727.67443702685,18830.4,20573.3,20573.3,20573.31652295045
Splits,22516.460620082493,18324.5,20020.6,20020.6,20020.596629110092
Hypersub,20465.61239047436,18193.0,19876.9,19876.9,19876.925116683302
MiniBridge,18971.639095124774,17691.4,19328.9,19328.9,19328.89603943011
Omni X,18592.39462738669,16228.0,17730.1,17730.1,17729.701153809023
BMX by Morphex,19899.120509957822,15920.0,17393.5,17393.5,17393.562692368505
Speedtracer,18675.45425698788,15908.4,17380.9,17380.9,17380.924390967903
Loot2,16380.132799854875,14973.5,16359.4,16359.4,16359.40593746389
DackieSwap,15732.193077737555,14853.6,16228.4,16228.4,16228.438316801243
sudoswap,15924.632416284217,14721.2,16083.8,16083.8,16083.799810438066
🏰 BuidlGuidl,17181.814171727525,14642.9,15998.2,15998.2,15998.49283578211
Guac (Farcaster),15459.323441732226,14312.5,15637.3,15637.3,15637.316375250168
PoolTogether,15653.842590070992,13733.7,15004.8,15004.8,15005.112350790005
Let's Get HAI,16359.786250056848,13586.7,14844.3,14844.3,14844.332814802037
Slice,15815.946959697769,13419.5,14661.6,14661.6,14661.660922540723
Equalizer,14186.794230950996,12973.8,14174.6,14174.6,14174.650732640874
Lido Finance,14450.952795047526,12835.3,14023.3,14023.3,14023.318192084884
EthXY,14032.501669413314,12717.7,13894.8,13894.8,13894.837610136123
Coordinape,15371.600756520747,11732.1,12818.0,12818.0,12817.979270508995
Omnisea,12934.885287603982,11404.1,12459.7,12459.7,12459.681940338756
TITLES,12255.072216236837,11178.9,12213.6,12213.6,12213.655638082982
Pika Protocol,12057.091560648789,11147.8,12179.6,12179.6,12179.39135218516
Polynomial Trade,11761.823445453314,11084.7,12110.6,12110.6,12110.657295043942
BSX,12420.755513313869,10832.4,11835.0,11835.0,11835.042706889659
ModeChat.xyz | Onchain Social on Mode,13362.456461276031,10609.1,11591.1,11591.1,11591.071110971507
doginme memecoin,10582.857044814562,10159.6,11099.9,11099.9,11099.691843080785
Linkdrop,13804.356049616847,10091.0,11025.0,11025.0,11025.024173759712
