majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
10.707503786810737,10.698812826475228,10.937970334166687,12.82770649909522,12.827706499095218,Project 1
7.0636870476757085,9.259818035563136,8.491385894949957,8.237238792914287,8.237238792914285,Project 2
5.64266837259647,7.476294484949259,5.671399530906672,5.608057272032991,5.6080572720329895,Project 3
13.803387652382696,11.898920236700135,14.190956575557923,15.261444961811002,15.261444961810998,Project 4
8.20301592598865,9.443130619741625,8.611299670810245,8.387354921655293,8.387354921655291,Project 5
7.788430359167816,8.976125015938248,7.9032452596033975,8.090356691684159,8.090356691684157,Project 6
12.06389078503534,11.562876230197462,12.961237469876963,14.322996644197826,14.322996644197824,Project 7
10.96284463654034,10.822071689361085,10.829774309014786,10.051706583984043,10.051706583984041,Project 8
9.22689584805783,9.66592919883681,9.590494168582152,11.516614916625969,11.516614916625967,Project 9
12.368526783236044,11.659122522116862,13.06501105131439,12.449277492406035,12.449277492406033,Project 10
9.005196495859575,9.395986075498,8.34259510763663,8.648362088449781,8.64836208844978,Project 11
12.123630377609832,9.273449767833256,9.010888331572547,10.735380118920066,10.735380118920064,Project 12
10.439441639997206,10.852810123875305,11.117711737142034,9.780961456443814,9.78096145644381,Project 13
10.771232386019676,11.01287820490822,12.89723743140058,8.912917226444783,8.912917226444781,Project 14
5.898526445043706,8.241991342963068,7.383121704475409,4.79783915021174,4.797839150211739,Project 15
7.388918665527365,10.205471475538976,11.059402828332484,7.25968964533909,7.259689645339089,Project 16
11.773665193121447,9.842738624474208,9.785374720218563,9.080016897390415,9.080016897390413,Project 17
12.368526783236044,10.98921397854322,12.266589253371913,9.81279701700572,9.812797017005717,Project 18
10.02220919288506,10.172745013293802,10.486572246468976,8.596473455942775,8.596473455942773,Project 19
5.672577876586445,7.802289253996534,6.5530511767489745,5.704975090602495,5.7049750906024945,Project 20
12.001687554699476,10.726198553579783,10.682994378948427,12.790900856484063,12.79090085648406,Project 21
6.804810940282588,8.698073085301544,7.037564767454414,7.427403629403867,7.427403629403866,Project 22
15.450504802243078,12.156104884435031,13.523477827940784,17.414623520913242,17.41462352091324,Project 23
5.521205786377326,8.139773796356598,6.817697698557794,5.602411605190104,5.602411605190103,Project 24
10.208343432333072,9.606939513184905,9.383912640783795,9.262957580648955,9.262957580648953,Project 25
13.305725522339486,10.133269304016952,10.267838409277141,15.270237071357812,15.27023707135781,Project 26
12.368526783236044,10.701002121863953,10.524759047796325,13.069673146159417,13.069673146159413,Project 27
10.5299010112177,10.787720384892527,11.150089228820246,11.325950713429625,11.325950713429624,Project 28
8.234628986800681,9.340116601230942,9.009321046325873,7.587820974254425,7.5878209742544245,Project 29
12.27988892709256,10.458127034333403,10.44702615194391,10.165853979001033,10.165853979001032,Project 30
