majoritarian_moving_phantoms_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
11982.830195657076,104303.70928999694,1041541.8685542285,42389.20229834813,42389.20229834813,53939480.0,1
19384.203383230983,78164.24247259647,672673.1671886235,9195.861420147336,9195.861420147336,34587737.0,2
5451.881189383814,94527.99585781473,981550.2401062835,4388.631727370779,4388.631727367152,50752952.0,3
19550.72656406069,78053.08492827615,675312.813476589,2477.823582098932,2477.823582098932,34739501.0,4
2831638.2572069797,82914.88776296197,761355.8239334938,26278.52511499684,26278.525114993197,39207831.0,5
6981.699003623846,94616.07054768014,941979.0634048382,10009.129261153295,10009.129261146023,48677928.0,6
19620.216287162744,105356.79381800267,1086023.0170225708,17873.89937296936,17873.89937296936,56291417.0,7
5233.294326623902,97310.61937261443,950332.8072332247,13713.476734699409,13713.476734699409,49106194.0,8
11756.348929404772,86644.39606074721,865521.5053587474,15133.679421291854,15133.67942128826,44683778.0,9
23081.02894227998,94544.61676330451,897791.2998347308,15244.422062664205,15244.42206266083,46405057.0,10
8813.679539511897,84869.02966978717,751207.8466109012,7593.733819884539,7593.733819881039,38657928.0,11
14166.68965645503,105643.88923857239,1122971.8072191717,9264.75353448831,9264.75353448831,58182558.0,12
16902.98529822175,84652.21359856974,758217.3415183006,16221.420549829549,16221.420549822476,39074180.0,13
3343.5690530093525,87034.22356665946,863539.3908591941,3595.859297759631,3595.859297759631,44578517.0,14
7928.731853686288,94136.50489466514,935958.9256974545,7699.341048447328,7699.341048447328,48402253.0,15
25229.527478581113,93288.61974645451,886199.8033953744,17349.66799101933,17349.66799101933,45737343.0,16
8827.639801899364,82679.73264997786,708231.070021523,21100.87575865324,21100.87575865324,36449096.0,17
13778.918363004414,104484.35789181784,1068714.61483517,14925.489931323908,14925.489931323908,55359345.0,18
15332.099853245272,81066.69058017529,733733.5285392406,12934.456618683827,12934.456618683827,37772403.0,19
12334.861097368026,102531.17179650994,1015441.9978237198,7848.9286104179555,7848.928610414274,52581372.0,20
3347.144168875191,89375.32828779281,874435.2446005929,983.5930284000351,983.593028396288,45146842.0,21
22125.702723646646,97108.42116978264,921642.5710887489,13473.987767314426,13473.987767314426,47592320.0,22
18253.481754546126,91016.25617320416,893980.549741776,18237.31195384381,18237.31195384381,46129204.0,23
11541.788846939566,86543.12088420274,807819.633011007,5686.2796906772855,5686.279690673662,41608977.0,24
8385.073721538774,82899.52584358776,795298.4399677962,2623.0269595233694,2623.026959516199,40981423.0,25
8562.725656025854,101542.51495050895,1038436.8926843229,16054.37348890823,16054.373488904577,53791209.0,26
10411.432471693402,88629.69483793514,832084.9785696444,8780.168813883905,8780.168813883905,42924731.0,27
9724.669609194752,66675.71028747743,545312.1510889959,15088.834020655777,15088.834020655777,27989319.0,28
21444.53366244454,82017.9583871818,761310.276126589,10449.83331614585,10449.833316149496,39201234.0,29
4392.2464321732405,115800.30054104052,1246243.9708009507,27926.33080090717,27926.33080090717,64768967.0,30
31694.531710281266,107732.8945044028,1157397.0345462314,10395.854863114022,10395.854863114022,60032691.0,31
19986.60619596802,104699.86677446419,1093870.8664115807,8833.953203789439,8833.953203789439,56694502.0,32
25997.006766636652,110726.32364429203,1150059.1557373535,14992.843968217167,14992.843968217167,59645909.0,33
13335.984103804058,97909.83138449528,950404.3750917169,6476.952269248322,6476.952269248322,49084149.0,34
19832.376153536738,88929.6274485165,837139.7294762495,16602.669849562564,16602.669849562564,43181230.0,35
21790.203058724845,108288.75039355484,1115603.5582762386,12398.317522053141,12398.317522045916,57748773.0,36
20280.516528253436,101896.4653865353,1017079.2637328454,5347.499952370108,5347.499952370108,52660275.0,37
18929.35152697631,104330.74365841967,1061816.044631273,16703.56796349764,16703.56796349764,55013226.0,38
5513.572509754536,83769.83538423287,761858.5500434309,14078.137766448395,14078.137766444932,39268029.0,39
12889.299564898432,87565.70504842962,827284.9807151598,9400.737613254227,9400.737613254227,42660258.0,40
10186.8860748898,77273.78533698278,714449.5789481498,3955.4314402915843,3955.4314402915843,36790501.0,41
4596.090296128932,74087.66556164937,635208.6706726456,4849.272469265456,4849.272469265456,32613487.0,42
6194.300747062407,94330.06902059022,965449.7356803153,10025.424023108353,10025.424023108353,49894059.0,43
13105.755986372325,104513.47120838986,1075365.2595448305,13766.997916781671,13766.997916778124,55676422.0,44
16898.809363103202,76170.32296361495,683905.903461307,9520.28331872318,9520.28331872318,35210932.0,45
20480.986540252845,92912.62506597239,846436.4072280461,23054.75831030406,23054.758310307578,43662293.0,46
23075.567659273267,113631.10726940696,1222882.6338893957,22921.697175686004,22921.697175686004,63469250.0,47
9732.85862055549,94084.43631120739,885994.4066326292,10482.000738836006,10482.000738836006,45741841.0,48
8374.838828005653,84287.71110883416,781344.0993004257,5971.258225062837,5971.258225059224,40312397.0,49
13106.507458410753,97424.36943972108,974808.1156320374,11075.983057948899,11075.983057948899,50412096.0,50
12769.640015089382,73047.36959696701,625434.5432069077,17030.16551921006,17030.16551921006,32135241.0,51
24138.009132658324,85333.35571819116,774599.2164998398,8334.002509173624,8334.002509173624,39888883.0,52
21341.597441248585,79766.93116040662,723249.5864047462,24340.49110263484,24340.49110263484,37239843.0,53
23195.430672933944,92829.85236132372,810117.2429766061,22449.328417199955,22449.328417199955,41740004.0,54
14747.774334805166,96317.48385544117,1003145.7999277008,14587.901373712619,14587.901373712619,51899856.0,55
14443.354564085614,107833.29148332935,1118436.9950982719,20434.370132469776,20434.370132469776,57934840.0,56
