round,voting_rule,max_vev,project_max_vev,project_max_vev_percentage,project_max_original_allocation,project_max_new_allocation,project_max_allocation_percentage
1,normalized_median,71188.29835112717,0.00012770506485168333,0.00012770506485168333,56474.14562373187,57495.78614254534,0.007186973267818167
1,r1_quadratic,47834.472499829324,0.0008687613563006394,0.0008687613563006394,18523.364310580935,25473.45516098605,0.0031841818951232562
1,r2_mean,146787.91795445283,0.009166472973116492,0.009166472973116492,1966.8414647107816,75298.62524964272,0.00941232815620534
1,r3_median,74256.82286421713,0.00017076178531389268,0.00017076178531389268,98460.30568643025,99826.39996894139,0.012478299996117674
1,r4_capped_median,63088.360616785445,0.00019739684521724848,0.00019739684521724848,89555.27953146909,91134.45429320708,0.011391806786650884
2,normalized_median,74146.23652111592,0.00013495110543836655,0.00013495110543836655,40429.45013367555,41509.05897718248,0.00518863237214781
2,r1_quadratic,44136.461933263854,0.0008787267941470191,0.0008787267941470191,59741.95711581798,66771.77146899413,0.008346471433624266
2,r2_mean,146827.53293136146,0.009166670977858282,0.009166670977858282,2939.742999390746,76273.110822257,0.009534138852782125
2,r3_median,74064.16585808659,0.00043624315073085017,0.00043624315073085017,291700.8237318469,295190.7689376937,0.03689884611721171
2,r4_capped_median,65996.00935437917,8.414652090287291e-05,8.414652090287291e-05,26927.047465231528,27600.21963245451,0.003450027454056814
3,normalized_median,69249.87302028669,0.0001337499754531982,0.0001337499754531982,83174.22291106796,84244.22271469355,0.010530527839336693
3,r1_quadratic,46998.6134166542,0.0008728306999476231,0.0008728306999476231,20733.65313056173,27716.298730142717,0.0034645373412678397
3,r2_mean,146855.03196212815,0.009166660145479925,0.009166660145479925,963.0084393799797,74296.28960321938,0.009287036200402422
3,r3_median,85791.5297257323,0.00021919408063630907,0.00021919408063630907,95788.0896027906,97541.64224788107,0.012192705280985134
3,r4_capped_median,60726.218471037806,0.00041703531389532874,0.00041703531389532874,328263.8438525643,331600.1263637269,0.04145001579546587
4,normalized_median,78465.62396224306,0.0005143300739308033,0.0005143300739308033,244959.28097776647,249073.9215692129,0.031134240196151613
4,r1_quadratic,47680.46067803507,0.0010646010649125674,0.0010646010649125674,263134.40260047844,271651.211119779,0.03395640138997237
4,r2_mean,146860.92576868692,0.009166566219781333,0.009166566219781333,2544.657978999646,75877.18773725031,0.009484648467156288
4,r3_median,84865.08884539516,0.00027468785538877275,0.00027468785538877275,157414.65079767175,159612.15364078194,0.019951519205097742
4,r4_capped_median,59578.27733237205,0.00064325493287664,0.00064325493287664,173443.1611009684,178589.20056398152,0.02232365007049769
5,normalized_median,76757.69798114974,0.0002904911213536561,0.0002904911213536561,83071.46303134256,85395.39200217181,0.010674424000271476
5,r1_quadratic,47043.03047390421,0.0008665411754520283,0.0008665411754520283,38683.81566220291,45616.14506581914,0.005702018133227392
5,r2_mean,146827.53293136146,0.0091666040377747,0.0091666040377747,1200.1086556043354,74532.94095780193,0.009316617619725241
5,r3_median,78641.47352024351,0.00018690975612901275,0.00018690975612901275,99828.71359223833,101323.99164127043,0.012665498955158803
5,r4_capped_median,65994.83635694516,0.00012997982857193075,0.00012997982857193075,57968.08400543086,59007.9226340063,0.007375990329250788
6,normalized_median,82308.31058278996,0.00024971552227377107,0.00024971552227377107,39461.291070992724,41459.01524918289,0.005182376906147861
6,r1_quadratic,42362.105214723415,0.0008716294828142364,0.0008716294828142364,53650.4994784145,60623.53534092839,0.0075779419176160495
6,r2_mean,146780.51222766776,0.009166439892126697,0.009166439892126697,2356.9889719871185,75688.50810900069,0.009461063513625086
6,r3_median,70495.86379468767,0.0005447703068125665,0.0005447703068125665,181946.25434302358,186304.4167975241,0.023288052099690513
6,r4_capped_median,62675.0063221116,0.00014469768048718196,0.00014469768048718196,65454.263890567316,66611.84533446477,0.008326480666808097
7,normalized_median,75795.33091448799,0.0006465340959651767,0.0006465340959651767,110160.86765082413,115333.14041854555,0.014416642552318193
7,r1_quadratic,44136.46193326386,0.0009405117033070183,0.0009405117033070183,104436.15624965256,111960.2498761087,0.013995031234513589
7,r2_mean,146855.0319621282,0.009166588744479008,0.009166588744479008,2097.153729947247,75429.8636857793,0.009428732960722414
7,r3_median,76704.2222565797,0.0004899518641809481,0.0004899518641809481,143872.84248594972,147792.4573993973,0.018474057174924664
7,r4_capped_median,65652.34160995967,0.0005466266544360588,0.0005466266544360588,204752.17060107505,209125.18383656352,0.02614064797957044
8,normalized_median,76579.46783698755,0.0005579731223257731,0.0005579731223257731,182068.31377034562,186532.0987489518,0.023316512343618975
8,r1_quadratic,43986.1068452104,0.0008653027829375892,0.0008653027829375892,14926.723549179434,21849.145812680148,0.0027311432265850187
8,r2_mean,146809.05726603157,0.009166484939261088,0.009166484939261088,5060.284292064687,78392.16380615339,0.009799020475769174
8,r3_median,73593.993621422,0.00019904112636607988,0.00019904112636607988,52868.8378382454,54461.16684917404,0.006807645856146755
8,r4_capped_median,65388.03380302491,0.00033393968535953627,0.00033393968535953627,62209.26386946968,64880.78135234597,0.008110097669043246
9,normalized_median,74059.29946693897,0.00017514620889679463,0.00017514620889679463,104463.77081955985,105864.94049073421,0.013233117561341776
9,r1_quadratic,48757.127074163305,0.0009207745580509472,0.0009207745580509472,187980.903151458,195347.0996158656,0.024418387451983197
9,r2_mean,146799.6231307126,0.009166597340494414,0.009166597340494414,2007.9806192428323,75340.75934319815,0.00941759491789977
9,r3_median,75722.96364451438,9.828287365126562e-05,9.828287365126562e-05,37545.11337361819,38331.37636282831,0.004791422045353539
