normalized_median_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
5562.458310857617,11518.203335747537,22306.2104953431,5558.856809137249,5832.50488480795,1253817.0,1
0.0,10589.210265653108,20022.80825078416,0.0,0.0,1099039.0,2
7138.037191175021,9596.556840506524,22770.56847386086,1365.5812750377618,7505.727721395847,1331912.0,3
1651.4670403059981,11137.75171307306,20695.626472556127,1650.3905804329697,1733.8559161982178,1262423.0,4
6346.242669536872,12890.18951113636,21163.88252132439,6799.575522809255,6680.003838782593,1163534.0,5
0.0,12010.362119016496,25801.649645188354,0.0,0.0,1415726.0,6
3329.9692058202036,11529.179352773555,25182.530447605823,3327.80371340309,3494.546788693297,1461035.0,7
2743.2884994766364,11450.175172509877,23416.31231841415,2741.4776538183883,2887.2554288720585,1501273.0,8
3230.413933674328,13185.558292646798,20771.87966359153,3228.2858479282168,3330.715512054183,1142066.0,9
2875.4369661215833,9928.789412167996,18658.54400632135,2825.0290155940934,3024.0740227316237,1075922.0,10
4553.502365902451,11758.980932169346,23989.448952310246,4784.062981955774,6328.55780501108,1366035.0,11
2663.963821500729,13327.683788689901,23525.489042866247,2638.239741204379,2784.6052330340663,1298412.0,12
3530.696989533296,12834.80572531675,21496.05298808868,3463.862897319589,3694.2146128641834,1186958.0,13
3978.79909123124,12018.688040395102,25314.377481961834,3976.326521965332,4101.991754789306,1441951.0,14
794.0647801076242,11355.518962509304,24605.203414236625,793.9148344853483,835.9991076478929,1369693.0,15
1006.172590748559,11771.120653273669,23457.300321752955,1044.6535563931652,1060.1479129077186,1391015.0,16
1848.0125663878077,9540.315158870088,18225.550601848037,1846.798380959167,1943.2109652964577,1021147.0,17
1007.5716846692853,13048.255192700273,27250.556612332643,982.8338334585169,1062.9734827812513,1524729.0,18
286.9429565326752,10170.406951453097,19868.84428290416,286.75192969235326,302.50279353994756,1165225.0,19
570.8329129423153,7732.492811867775,15818.425839537544,570.4504017368638,597.2404719848862,890868.0,20
6393.207702964858,10960.041562335202,24700.47917195812,6389.165344205834,6673.314078334279,1416676.0,21
3018.2542926957694,13259.478546348299,26547.24819482062,3554.7706908524697,3174.5811874161996,1483312.0,22
319.5690938692275,13937.622164878274,26967.695240213165,230.57551757450713,337.0426560271213,1476119.0,23
3319.7211083053694,11252.681211392577,25609.245645020274,3317.538171781721,3491.321222564994,1448071.0,24
1177.073213843185,11991.059034963384,28235.87050535041,1176.2941289038067,1239.4919729091212,1618178.0,25
1507.3126674297841,12235.79981138741,21581.621738052814,1428.3605403878234,1586.7234596312862,1193260.0,26
1267.3620409007783,12261.951257147453,25253.877495526074,1266.523559863649,1334.4554095254193,1407444.0,27
0.0,12850.996749726142,25103.000773622247,0.0,0.0,1416268.0,28
0.0,13437.750124612103,28724.09816129201,0.0,0.0,1603724.0,29
2015.478945547747,10582.103582959442,22378.68597506588,2014.1418220943124,2123.3375457059874,1337098.0,30
1177.073213843185,11419.057031201173,21974.38233615791,1176.2941289038067,1239.4919729091212,1272312.0,31
1311.947926032484,11594.057300048506,22990.780498828477,1275.1921513132336,1381.6918354798195,1272065.0,32
3722.1236342843836,9831.2121326095,17727.16590123588,3719.6555677010742,3920.941401392103,1001187.0,33
5579.670939898848,8374.276004698186,15520.527208936164,5575.986200682519,5873.067003667653,926054.0,34
3137.74485684958,11881.464354335178,23310.03042975103,3252.998977161224,3300.985276069651,1291680.0,35
3570.1910271366737,11557.40446938466,21084.83495506968,3999.0000012966366,3753.205347633633,1184238.0,36
2363.655452126728,9983.597550973245,16398.666083556604,2357.5872174103934,2476.158066971592,933449.0,37
6187.725302042356,13845.177252214144,27793.60242590707,6183.780475449019,6468.937539894758,1581213.0,38
3398.454649223052,16421.77335645481,30974.88768202025,3386.3167044296515,3569.184936508009,1711116.0,39
6193.797309474211,10590.724529192437,21177.905264858487,6189.737026643645,6510.131102642634,1202850.0,40
5525.612421545433,12306.189172235405,23810.367127075413,5521.985776270745,5809.171043705004,1334510.0,41
2348.7050833618396,13064.520349114176,23234.119842450094,2300.6899907417464,2470.8646722146937,1295080.0,42
1086.2421067138716,12617.019386054842,21562.793018706332,1085.5163459634691,1137.888982249044,1186832.0,43
9622.442346912445,10022.301981480436,21481.96288336506,9616.168068378198,10103.553146777054,1214191.0,44
380.14102583320937,8207.477039569276,12199.59067182857,379.8865848366272,1999.5937787202092,694030.0,45
7629.060260267992,10646.413191877997,23684.233486765203,7624.146515882717,7991.456119825587,1360160.0,46
2692.114014582177,10404.161520844194,17716.95598111803,2927.122908195026,4401.723545345029,980860.0,47
3931.5484934908586,11444.28265763148,19439.703447313586,3887.546806097431,4130.833904731593,1070409.0,48
3660.62895564895,10167.040075356605,20697.202137033164,3658.204370917116,3855.3158000223484,1156421.0,49
