round,desired_increase,normalized_median_bribery_cost,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost,desired_increase_percentage
5.5,1.0,0.0,149.6835842628407,0.0,0.0,0.0,1.0
5.5,4.222222222222222,0.0,748.4179213142035,0.0,0.0,0.0,4.222222222222222
5.5,7.444444444444445,0.0,12347.869000985385,299.3671685256814,0.0,0.0,7.444444444444445
5.5,10.666666666666668,0.0,212719.70339132505,7524.981110234372,0.0,0.0,10.666666666666668
5.5,13.88888888888889,0.0,715928.6849315945,10033.308146979163,0.0,0.0,13.88888888888889
5.5,17.11111111111111,0.0,2242675.758946738,12541.635183723953,0.0,0.0,17.11111111111111
5.5,20.333333333333336,0.0,3168998.3550334205,15049.962220468744,0.0,0.0,20.333333333333336
5.5,23.555555555555554,0.0,8000000.0,17558.289257213535,0.0,0.0,23.555555555555557
5.5,26.77777777777778,0.0,8000000.0,20066.616293958326,0.0,0.0,26.77777777777778
5.5,30.0,0.0,8000000.0,22574.94333070312,0.0,0.0,30.0
