round,desired_increase,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost,r4_capped_median_no_caps_bribery_cost,desired_increase_percentage
1.0,1.0,3105.160021413464,1552.580010706732,0.0,0.0,0.0,1.0
1.0,2.0,2508.327036745101,836.109012248367,0.0,0.0,0.0,2.0
1.0,3.0,23670.963398496755,7101.289019549027,2367.0963398496756,2367.0963398496756,2367.0963398496756,3.0
1.0,4.0,48803.40370252548,13943.829629292994,3485.9574073232484,3485.9574073232484,3485.9574073232484,4.0
1.0,5.0,898.1015055772724,0.0,0.0,0.0,0.0,5.0
1.0,6.0,73379.98653533997,14202.578039098053,4734.192679699351,0.0,4734.192679699351,6.0
1.0,7.0,97050.94993383679,16569.67437894773,4734.192679699351,6971.914814646497,4734.192679699351,7.0
1.0,8.0,14111.850286841798,6173.934500493287,0.0,0.0,0.0,8.0
1.0,9.0,153861.26209022902,8382.36488166651,1047.7956102083137,0.0,1047.7956102083137,9.0
1.0,10.0,327208.540338334,7524.981110235305,836.109012248367,0.0,0.0,10.0
1.0,11.0,391054.1091848382,15525.800107067318,0.0,0.0,0.0,11.0
1.0,12.0,932150.4843891527,9197.19913473204,0.0,0.0,0.0,12.0
1.0,13.0,3527522.417636252,10033.308146980407,0.0,0.0,0.0,13.0
1.0,14.0,2238659.376322058,45853.31341406612,21619.349763702845,21619.349763702845,21619.349763702845,14.0
1.0,15.0,3283627.6248902213,12347.869000986573,0.0,0.0,0.0,15.0
1.0,16.0,4581544.188800032,15600.729380750485,2080.0972507667307,0.0,2080.0972507667307,16.0
1.0,17.0,6959721.612129194,16764.72976333302,1047.7956102083137,0.0,1047.7956102083137,17.0
1.0,18.0,4806137.85804422,51090.41498242643,27932.436370345567,27932.436370345567,27932.436370345567,18.0
1.0,19.0,8000000.0,27946.440192721184,6210.320042826928,0.0,6210.320042826928,19.0
1.0,20.0,8000000.0,18720.87525690058,3120.1458761500962,0.0,3120.1458761500962,20.0
1.0,21.0,8000000.0,15886.07123271898,0.0,0.0,0.0,21.0
1.0,22.0,8000000.0,73205.10555378823,20915.74444393949,20915.74444393949,20915.74444393949,22.0
1.0,23.0,8000000.0,77281.45258161324,21076.759794985424,21076.759794985424,21076.759794985424,23.0
1.0,24.0,8000000.0,80177.02036843474,21076.759794985424,21076.759794985424,21076.759794985424,24.0
1.0,25.0,8000000.0,20285.784787335084,0.0,0.0,0.0,25.0
1.0,26.0,8000000.0,56810.31215639221,21303.86705864708,21303.86705864708,21303.86705864708,26.0
1.0,27.0,8000000.0,20902.725306209173,1672.218024496734,0.0,1672.218024496734,27.0
1.0,28.0,8000000.0,21738.83431845754,1672.218024496734,0.0,1672.218024496734,28.0
1.0,29.0,8000000.0,21738.83431845754,1672.218024496734,0.0,1672.218024496734,29.0
1.0,30.0,8000000.0,22574.943330705904,0.0,0.0,0.0,30.0
