r1_quadratic,r2_mean,r3_median,r4_capped_median,r4_capped_median_no_caps,Project
76575.5160800105,86995.77068339258,98133.4348045651,110433.89630265396,98199.26804140004,Project 1
15287.85975289102,5004.481465633843,1463.212384130324,1646.6176387243943,1464.1939864518579,Project 2
28331.620290345327,17872.0069850795,7981.812632212017,8982.286926860023,7987.167265548095,Project 3
124126.84336406105,227308.56499815878,244795.05915940297,275478.71153648815,244959.28097776446,Project 4
1499.0697148453846,138.59597653781026,0.20642155588727407,0.0,0.17007569098936012,Project 5
3618.4171902115786,816.6583867946497,1.0460999667577053,0.0,0.9046787601039561,Project 6
28123.990064820842,13048.915789298393,13097.105253649086,14718.096987111934,13087.524749971111,Project 7
13330.761436085806,3268.8005205558293,2269.3575641857115,2553.808479403901,2270.879972468716,Project 8
43674.53933789557,29686.732592967062,31900.706267508147,35899.27627564846,31922.10699352057,Project 9
35507.0649909521,18897.917034235863,18893.075987474687,21261.214371983668,18905.7504887647,Project 10
43020.63050787919,29295.23797974588,29789.32271593485,33523.242942524696,29809.307011210112,Project 11
12108.887344938481,3252.587917844802,938.4293626819266,1056.0560845767984,939.0589120562996,Project 12
16818.69562151837,4558.432344545798,4313.06057173884,4853.677901675922,4315.954006974936,Project 13
104436.15624965128,200654.79413040902,157414.6507976708,173443.1611009671,154227.93215793002,Project 14
58380.80396729477,51355.523196087845,51907.37585969757,58413.66680427312,51942.19814605957,Project 15
102459.70283984185,162313.31325147045,143872.84248594835,161906.47560134283,143969.36020116287,Project 16
38683.81566220272,23345.809455843395,22448.435841537048,25262.218130020643,22463.495471277645,Project 17
4681.043677032039,774.1753754447257,88.44506878271748,0.0,77.23409503886282,Project 18
11938.4127664624,3227.7398581575562,1035.530542769642,1165.3283389723338,1036.2252328883333,Project 19
14990.021796280207,4104.22090281676,4021.0459522391106,4525.060929561218,4023.7434882116886,Project 20
7726.924913952802,1437.5747600957736,320.6266393061285,0.0,320.84173306620187,Project 21
13481.08620605592,3694.76845334657,1619.5973163683848,1822.6045225471155,1620.683830194361,Project 22
20271.191271414224,7265.558685573383,5694.709854950965,6408.508974008732,5698.53017555152,Project 23
41665.12560787172,26975.444606306224,25667.84595230215,28885.162777133,25685.065337163032,Project 24
42070.198938724105,26977.136268797643,27179.626308661835,30586.43610399762,27197.859877877327,Project 25
30990.675289279025,16008.198265389063,13905.521574935157,15648.498706877726,13914.850153894806,Project 26
25015.42614730472,11084.67235685279,9461.686752256908,10647.654754242096,9468.034165511726,Project 27
46933.20422890227,33378.508963760614,34865.16463481388,39235.312444978044,34888.55408047288,Project 28
10232.982320174768,2216.000186471144,643.8026280432996,0.0,644.2345258054776,Project 29
12493.48899986943,2782.703649828519,2225.008839852492,2503.900897610566,2226.501496603023,Project 30
10267.360885847851,2191.756901039835,842.4707282706147,948.0695873852201,843.0359033823511,Project 31
52095.59882313366,42387.83765673176,40402.34604605023,45466.54769110245,40429.45013367576,Project 32
5812.275252008752,970.1815768508852,89.37893668525807,0.0,89.4388969293744,Project 33
6262.97163942758,963.0084393801011,178.69222111117858,0.0,178.8120975563107,Project 34
13393.460049827949,3783.4543021190234,1348.2517751043474,1517.24737871721,1349.156255606842,Project 35
10524.27782328172,2544.657978999801,549.0676644957123,0.0,549.4360089001156,Project 36
55647.49817270207,48511.961379101354,49637.85900662187,55859.67907003325,49671.158777841236,Project 37
13852.852661427758,3369.2050618118615,2424.3897547609345,2728.2730631785744,2426.0161670558186,Project 38
6621.636545450182,1200.1086556044572,163.59775797014586,0.0,163.6458280317135,Project 39
37334.56823141621,20915.23725570718,21404.798682446723,24087.767057008612,21419.158183710202,Project 40
18179.04699891821,5365.2663615695,4945.939385469946,5565.884433801467,4949.257390180403,Project 41
13641.21389852806,3265.907049816282,2413.2525589825905,2715.739883980909,2414.8714998417827,Project 42
77320.036373054,89806.69038669158,98460.30568642961,110801.73856909528,98526.3582060016,Project 43
33597.06837092038,17792.466958924048,19343.552085029987,21768.155056810607,19356.528790147655,Project 44
37812.943802015645,24795.631376714737,21985.296232856326,24741.026635800983,22000.04516339836,Project 45
10319.935188974556,2356.988971987285,593.9574779502846,0.0,594.3559368791264,Project 46
33299.19616595147,19213.09409951889,17385.80015676839,19565.010187148866,17397.46349558421,Project 47
18986.544229778847,6538.656865814584,5805.428893064362,6532.018252752666,5808.356245037796,Project 48
15945.421191664744,4398.79653334665,3149.97001937137,3544.800639746327,3152.083190307669,Project 49
41858.175948809374,26525.617692939155,28132.237957837893,31658.45214309091,28151.110590675657,Project 50
53400.915355296485,43061.26210169095,43818.11369567485,49310.46216493943,43847.50926572019,Project 51
26929.586909707265,12876.433194536858,10247.508831030817,11531.975109811843,10254.383416407196,Project 52
15449.701792100035,4830.025446787472,3732.29632115187,4200.118193373259,3734.8001481924484,Project 53
16535.252790731505,5222.675699355333,2914.8978393822817,3280.2635143491198,2916.853311135531,Project 54
11680.008928662392,3042.3383161051447,1147.0454601239182,1259.7863303634283,1120.2185168873464,Project 55
47463.38398871839,33700.28813535972,35065.32159192342,39460.55792517254,35088.84531373803,Project 56
9238.14803914709,1785.2912077735796,813.2442794115267,915.1797712993248,813.7898478343355,Project 57
15965.182983752431,4528.912768818908,4352.718424560455,4898.306638199922,4355.638464437695,Project 58
28613.310174524886,12607.241316580703,12974.04695823446,14600.269105680747,12982.750653440991,Project 59
13397.379242593197,3814.319638409638,2117.5752586107906,2307.849256362914,2052.1698075709487,Project 60
8725.813703689097,2166.7310992380094,277.9065313642704,0.0,266.07570069421297,Project 61
