round,desired_increase,r1_quadratic_bribery_cost,r2_mean_bribery_cost,r3_median_bribery_cost,r4_capped_median_bribery_cost,r4_capped_median_no_caps_bribery_cost,desired_increase_percentage
1.0,1.0,4786.558151602877,2393.2790758014385,0.0,0.0,0.0,1.0
1.0,2.0,1763.9812858552248,881.9906429276124,0.0,0.0,0.0,2.0
1.0,3.0,22909.922032909682,7636.64067763656,2545.54689254552,0.0,2545.54689254552,3.0
1.0,4.0,14257.284123211959,5184.466953895257,0.0,0.0,0.0,4.0
1.0,5.0,898.1015055772724,0.0,0.0,0.0,0.0,5.0
1.0,6.0,127090.9044668582,21181.81741114305,14121.211607428697,14121.211607428697,14121.211607428697,6.0
1.0,7.0,54340.30037473565,9315.480064240392,1552.580010706732,0.0,1552.580010706732,7.0
1.0,8.0,122057.23286587352,19146.232606411508,4786.558151602877,0.0,4786.558151602877,8.0
1.0,9.0,155278.3604452766,8320.389003066923,1040.0486253833653,0.0,1040.0486253833653,9.0
1.0,10.0,22049.76607319031,598.7343370515149,0.0,0.0,0.0,10.0
1.0,11.0,303278.29443712207,8361.090122483673,0.0,0.0,0.0,11.0
1.0,12.0,3074536.844511107,9701.897072203736,0.0,0.0,0.0,12.0
1.0,13.0,1247641.1507063012,28719.34890961726,7179.837227404316,0.0,7179.837227404316,13.0
1.0,14.0,6613296.889370444,10869.417159228775,836.109012248367,0.0,836.109012248367,14.0
1.0,15.0,3283627.6248902213,38475.21054713136,8244.687974385291,0.0,8244.687974385291,15.0
1.0,16.0,5353534.0220597,45079.77792567038,14051.17319665695,14051.17319665695,14051.17319665695,16.0
1.0,17.0,6059038.505586936,16640.77800613385,0.0,0.0,0.0,17.0
1.0,18.0,4806137.85804422,16640.77800613385,0.0,0.0,0.0,18.0
1.0,19.0,5365888.853559401,43079.02336442589,11966.395379007192,0.0,11966.395379007192,19.0
1.0,20.0,5964243.366006663,15049.962220470612,1672.218024496734,0.0,836.109012248367,20.0
1.0,21.0,8000000.0,31051.60021413465,6210.320042826928,0.0,6210.320042826928,21.0
1.0,22.0,8000000.0,31051.60021413465,6210.320042826928,0.0,6210.320042826928,22.0
1.0,23.0,8000000.0,52076.11947669286,0.0,0.0,0.0,23.0
1.0,24.0,8000000.0,19403.79414440747,0.0,0.0,0.0,24.0
1.0,25.0,8000000.0,19230.507281712442,1672.218024496734,0.0,1672.218024496734,25.0
1.0,26.0,8000000.0,25147.094644999543,2095.5912204166275,0.0,2095.5912204166275,26.0
1.0,27.0,8000000.0,38814.500267668314,7762.90005353366,0.0,7762.90005353366,27.0
1.0,28.0,8000000.0,40367.08027837505,7762.90005353366,0.0,7762.90005353366,28.0
1.0,29.0,8000000.0,64618.53504663883,16489.375948770587,0.0,16489.375948770587,29.0
1.0,30.0,8000000.0,29121.36151073424,3888.3502154214425,0.0,3888.3502154214425,30.0
