round,normalized_median_gini_index,r1_quadratic_gini_index,r2_mean_gini_index,r3_median_gini_index,r4_capped_median_gini_index
1,0.3032348921198966,0.136543820698364,0.26291948502563095,0.3032348921198963,0.29651511780706324
2,0.2754609807344883,0.12051071858015162,0.23225877273742523,0.2754609807344886,0.27031909192734
3,0.32113689053451,0.13797713327375183,0.2816106810300973,0.32113689053450983,0.2831508700575838
4,0.26534525595888675,0.11723471614100144,0.22757661712497582,0.2653452559588867,0.26329810459094494
5,0.3139330864044709,0.12829197623506305,0.26408021677369714,0.31393308640447115,0.28273309657512324
6,0.2848665794200636,0.12313726163205937,0.24308665851928918,0.2848665794200635,0.27830447274791154
7,0.2861457471045591,0.12587483041189512,0.2507366332674691,0.2861457471045591,0.2838229272173109
8,0.2785331575449322,0.1241851549783996,0.24073215141820425,0.2785331575449319,0.2785331575449322
9,0.26965441204430723,0.11705747523282654,0.23478156354101296,0.2696544120443071,0.25360067120554575
10,0.2551030913710416,0.10840140091745248,0.20915732446507027,0.2551030913710416,0.2551030913710416
11,0.2883543906178706,0.12278315907165539,0.24586256802234574,0.28835439061787055,0.27429305859315206
12,0.30989612487760465,0.13192742495943052,0.25791525687141237,0.3098961248776049,0.2978339908485267
13,0.2817287488546932,0.12786480869641567,0.24776851827901525,0.2817287488546932,0.2817287488546932
14,0.2324163377897881,0.10325787832738008,0.1977404213324894,0.23241633778978796,0.2324163377897881
15,0.29467450904620035,0.12503827745195656,0.2478159057780196,0.29467450904620035,0.2667080531575362
16,0.25007366364095435,0.11040759724903083,0.20766565992045913,0.2500736636409546,0.25007366364095435
17,0.24832784104368388,0.10765471951013096,0.20665345243144684,0.24832784104368388,0.24832784104368388
18,0.23810005333895107,0.10593138992306587,0.2004475240173847,0.23810005333895098,0.23810005333895107
19,0.2621293516088835,0.11939995707623095,0.22732335448362292,0.2621293516088835,0.2621293516088835
20,0.2854874405070196,0.12776143237039742,0.24551437438280682,0.28548744050701963,0.2854874405070196
21,0.2549031465772372,0.11314645535721868,0.21647680970672548,0.2549031465772372,0.2549031465772372
22,0.2765013137138265,0.13006298341762434,0.24575727724730437,0.27650131371382636,0.2765013137138265
23,0.2563246421860842,0.11058394372558701,0.20950188266115694,0.2563246421860842,0.2563246421860842
24,0.24916309662066166,0.10870163371605851,0.21132500980719587,0.24916309662066166,0.24916309662066166
25,0.2565202804803132,0.11198797279731075,0.21516595469629315,0.2565202804803132,0.2565202804803132
26,0.2683155233286526,0.12081843976319782,0.22893444839961954,0.2683155233286526,0.2683155233286526
27,0.2890108183182755,0.12411217853947074,0.24019134521449714,0.28901081831827546,0.2890108183182755
28,0.23566265012571178,0.10026346795776983,0.19089994998757787,0.235662650125712,0.23566265012571178
29,0.2805040639709225,0.1231692293214869,0.24068218370216693,0.2805040639709225,0.2801552593113288
30,0.26667320911641734,0.11641960871722407,0.2196745013901063,0.26667320911641745,0.26667320911641734
31,0.3200034252287535,0.1393747154859444,0.27139535664382863,0.3200034252287534,0.307684840968271
32,0.26879665449031437,0.11914169640835237,0.22604478310567655,0.2687966544903141,0.26879665449031437
33,0.25336313071891925,0.12012147346425817,0.22849787451018336,0.25336313071891925,0.25336313071891925
34,0.28014818159400046,0.12353805021248301,0.23187734348436778,0.28014818159400046,0.28014818159400046
35,0.29425166078660225,0.12518001616923466,0.24374335463082747,0.29425166078660225,0.29240189456281074
36,0.28018056770245914,0.12796849035676078,0.24484389865860215,0.2801805677024592,0.28018056770245914
37,0.26452475500604516,0.11805288215850672,0.22807893338172147,0.26452475500604516,0.26452475500604516
38,0.29119019623522036,0.12388795294397822,0.24683219773844428,0.2911901962352202,0.28315778376304257
39,0.28567069277008944,0.1245577075742377,0.24011745264654846,0.2856706927700897,0.2853303400096217
40,0.2857965591804752,0.12510466789320454,0.23560165949919323,0.2857965591804752,0.2857965591804752
41,0.2634218569452672,0.11752560214166977,0.22173244978070702,0.2634218569452672,0.2627168107518287
42,0.2608793218977019,0.10957401589373914,0.21823782355440804,0.2608793218977021,0.2513675142480152
43,0.30418963231105645,0.13378579895644932,0.2559166662550057,0.3041896323110566,0.30418963231105645
44,0.27639783421793107,0.1214743733793687,0.23324514639963928,0.27639783421793085,0.2759871072221181
45,0.2786613852867129,0.11965058227835737,0.23193714033125995,0.2786613852867129,0.2784956919224685
46,0.3034654966826683,0.12946800033434822,0.25046215050025544,0.3034654966826684,0.3024112691786627
47,0.26880381964384226,0.1158941566640239,0.2251858804102319,0.26880381964384237,0.26880381964384226
48,0.2470261918212915,0.108333150667643,0.20777487625287946,0.24702619182129126,0.2470261918212915
