Project,Mean Aggregation,Median Aggregation,Quadratic Aggregation
Project 250,44008.57785344374,42724.37948198123,46744.102984729136
Project 251,48699.72528127517,43865.38247242151,48811.054006820006
Project 252,52476.935999649235,49489.514199181474,51295.80340077581
Project 253,46803.132308636545,46616.36699772169,48140.26690161332
Project 254,47273.67626096713,49465.74517139538,49488.784366755375
Project 255,43596.003244971456,42087.3202521596,46202.61372901043
Project 256,53742.312345178594,54126.30918218633,51811.323622687174
Project 257,47652.906212033085,44220.05420713344,47600.57277621425
Project 258,48883.46030024082,51078.53584376367,49716.198757046346
Project 259,49203.94221506849,45482.21094099505,49587.281858436545
Project 260,51301.04057458469,51395.266403625596,50760.704029207416
Project 261,51910.22827795606,50995.74386495775,51562.04421959582
Project 262,49395.09283609665,42316.98443523071,48388.50367710091
Project 263,53988.82576886161,47300.84738896163,51614.283560992466
Project 264,44571.710980750395,47234.64505270626,48199.245677817424
Project 265,52941.72382530373,57532.43245037375,51625.31189582681
Project 266,50338.96619783088,52228.133381550586,50410.35563605461
Project 267,46360.68115928008,48916.09290914932,48699.14355337639
Project 268,48467.55263945545,47343.79637011515,49520.49868536242
Project 269,50654.68253186909,55670.474486951585,50882.17935631287
Project 270,51222.30929336691,51461.243067479394,51430.126606994214
Project 271,48840.37590323259,43923.22727103076,49005.74523396723
Project 272,47830.494404502075,47432.92584775843,47938.86664049672
Project 273,44766.68855171144,41649.652043069866,46882.682539088426
Project 274,46169.391922713985,40367.279100121785,46786.14444327112
Project 275,49331.269331778436,46931.94034766112,49447.8330817091
Project 276,54267.66729565149,51872.411616581005,52383.7792638854
Project 277,49305.59502576995,48599.84119581896,49225.98653713323
Project 278,56511.63020856763,54043.609543830506,52411.152446103006
Project 279,47880.78825306946,46032.86867847859,48045.33360851305
Project 280,44342.21691851129,45124.952924486104,47719.44300208576
Project 281,51384.49614871866,55169.54540085318,51191.98876663683
Project 282,51650.03663698765,43453.489619102955,49506.526021768244
Project 283,49242.24526281228,47268.22779752895,49764.79528127283
