Project,Mean Aggregation,Median Aggregation,Quadratic Aggregation
Project 1,46320.04420233557,49088.06840699925,47996.21061931877
Project 2,53245.22743317049,44358.67784619727,50825.551414350746
Project 3,45486.9764110737,43634.61417186512,47450.975296195174
Project 4,48079.52784744176,45860.658223251936,48841.97685701374
Project 5,57441.17448887763,53149.33425665298,53782.343813181295
Project 6,50364.479959281125,48049.21057301017,50442.08587623798
Project 7,51582.567453912015,52561.96757529672,51098.98635049032
Project 8,50255.19024526952,40905.61919993858,48908.89211818169
Project 9,49804.147284555715,49724.499588875246,49872.472809234365
Project 10,49664.91651381252,50416.32297695576,49821.0174222189
Project 11,54441.44948744595,60958.6882067253,52607.35768309144
Project 12,49942.23889015788,55158.69966099971,51135.72221910529
Project 13,51765.175774459894,54148.03518347175,51054.148387433954
Project 14,46745.79488792806,49834.3132164322,48491.94933591247
Project 15,48995.93819586235,49053.91206457336,49998.746448331425
Project 16,50725.999850746586,52803.029417328224,50281.55922039715
Project 17,44961.629876109626,49993.2013506286,47574.329182144655
Project 18,47789.187627303014,37970.267267959665,48307.17890436885
Project 19,52305.386953247595,49594.112886817085,50893.546368954005
Project 20,47395.765739249364,48734.50079465768,49896.52664172316
Project 21,44943.0461048064,43984.514547911465,46747.78245634515
Project 22,46430.645309947984,43851.85679351809,47769.27589644161
Project 23,51393.21106929761,47094.04704729116,50605.65230857746
Project 24,51718.54703196404,48774.69444812058,50216.65999538587
Project 25,46986.19902966937,53947.16760038784,49147.65124982748
Project 26,44877.220191530185,53526.09078896895,47471.01871853949
Project 27,55769.8345593566,61329.227315510405,53417.856248218886
Project 28,46180.202339122945,53885.896645566165,48627.681917478825
Project 29,53350.1300178024,48824.5800700289,51317.396352243595
Project 30,53383.79138637574,50442.82168110424,50959.7432236129
Project 31,51152.23571975953,50059.91005924387,49936.049747982725
Project 32,51518.18237282003,60468.526945587546,50799.07981716554
Project 33,51050.13235877387,57003.392865255104,51589.76618951259
Project 34,55104.97868640611,58059.94332097056,52225.48733910005
Project 35,54520.503884631325,60976.81038950751,52824.791963341
Project 36,50555.85928117852,51303.610448597356,50406.46039717164
Project 37,49392.590090809405,47108.60286668603,49703.90028610206
Project 38,47866.24778978257,47924.7590447018,49342.21914390971
Project 39,49230.50374033472,51764.424460671944,49452.790659832935
Project 40,46500.486717678956,47905.836264058984,48290.925328886675
Project 41,53819.73041078426,51683.598121117495,52864.34668446054
Project 42,46114.52581462566,46880.03212965319,48016.21598820283
Project 43,55606.47309895112,50388.95497204925,52674.99930509625
Project 44,56187.85764445908,56389.853623347786,53135.63718563727
Project 45,51741.90454149019,51273.77444923802,50399.050606565
Project 46,51087.485882253524,48864.34122503424,50444.7152885845
Project 47,47718.72079844676,51439.00513537429,49240.6758749013
Project 48,58481.565641061716,60015.112375535784,54028.410729924995
Project 49,50916.83388129495,48379.51329284604,50943.508418527585
Project 50,50914.87387264743,54874.441771446516,50964.738212532626
Project 51,51725.268929502796,52178.07066876142,51050.835371932466
Project 52,49886.25120281433,61198.88976525341,50416.221892769376
Project 53,47203.892471024075,45955.6247103538,48804.66794459288
Project 54,55619.92782175584,57225.42617079993,53054.16086054696
Project 55,55183.01374194938,42680.414650570885,51110.27077911369
Project 56,49781.21119796717,45555.90336506977,49206.726984513785
Project 57,49558.44384908332,44788.7233257938,48529.524124134434
Project 58,50647.0306195617,46877.059738750184,50062.03090194069
Project 59,54383.786948000874,54369.81133508173,51850.89436543441
Project 60,50176.89794047234,49653.04778696319,49981.66590674306
Project 61,45431.78874272346,45558.08729241729,47086.700778624974
Project 62,52220.958522154695,51657.46892216878,51436.03067306417
Project 63,50488.252429269814,49703.319972034995,50215.28567145118
Project 64,51425.72959243001,55001.67551788277,51449.314932591646
Project 65,55474.087966200226,54048.392316233556,53444.313385597816
Project 66,55082.988451528276,52028.857217273544,52227.73140582011
Project 67,53497.32784950941,46484.688453983814,51033.12044815348
Project 68,44915.51856222023,49289.11160260818,48042.458355541545
Project 69,45907.728077659,37435.167386817564,47313.35610514755
Project 70,41760.154957124134,41509.77777032136,46582.30040291407
Project 71,47376.98750800409,40446.61574397648,47669.59264316388
Project 72,47236.619323301275,45203.956188368305,48522.01618399129
Project 73,46481.880941715455,46505.88105062696,49213.67695782599
Project 74,53513.22201101261,63335.271009397526,52845.06504037627
Project 75,56150.337600789026,57718.33570636116,52779.01748047968
Project 76,44744.93266566377,45014.1163927567,47089.35761697734
Project 77,48791.15774578015,50292.82429181744,49858.28113015021
Project 78,51463.973458490145,54612.52201112786,51204.6973755507
Project 79,53989.822355370365,47349.632363452176,51036.48738033567
Project 80,48159.227273138626,46961.58670450776,49439.07388377912
Project 81,52300.287148008276,60164.32668425646,51881.602269738534
Project 82,49182.13137102762,46659.33666703508,49039.4267022685
Project 83,50353.46949960233,42746.7313793461,49595.74680463029
Project 84,46933.95014983118,51012.97683762307,49360.44685782075
Project 85,41200.68284420066,42966.40614962562,45108.44493723246
Project 86,51661.01967134986,51270.496753797,50538.43677325951
Project 87,49926.566180874484,44786.45296109511,49326.088774241645
Project 88,48039.05458919932,48946.44817312189,49006.60180470112
Project 89,52574.12825602808,49640.120974744816,50823.09592872961
Project 90,50378.57331034776,52898.13717891786,50441.36442049774
Project 91,42590.76177121483,37640.04222301966,46111.53596416953
Project 92,48362.67580781278,47566.48978840866,48815.75236113144
Project 93,50187.573384619864,48473.76033579226,49429.620687468814
Project 94,52387.513079210104,56820.39078939009,50272.23039812386
Project 95,52479.8629811825,53042.509865693835,51432.95423067998
Project 96,47401.38644607939,51883.38308942456,48698.35049709424
Project 97,44658.58483377381,40773.537953744155,47339.54103066992
Project 98,47913.23257137106,43997.865236733356,49346.11790726797
Project 99,49326.60615426525,55019.540326296206,49974.091328956245
Project 100,46321.36442193462,46333.87993102549,48069.80790526327
Project 101,49114.04054121178,48391.975743803494,49120.02113761073
Project 102,53303.95022563039,60462.91640592132,51850.82119707769
Project 103,47546.40691293532,47790.017485625394,47958.904014624255
Project 104,52179.34820967944,46525.82606213317,50751.23057817364
Project 105,50670.396653693984,46560.603888559686,49410.51274217623
Project 106,42618.78383897003,45742.68812084084,47027.77246204738
Project 107,48874.50372813811,45443.91387490252,49272.524684073076
Project 108,47738.78731359101,48282.20191665392,48609.23491742751
Project 109,47405.73157986252,47167.37468327052,49042.17680264723
Project 110,52849.539508886206,58581.17169840928,52096.343774385874
Project 111,68176.56477255965,74752.03792023903,58913.0365306376
Project 112,49591.805508242884,45924.353417506216,49396.41732459485
Project 113,45370.50812043993,41957.305899169274,47639.7293480587
Project 114,53566.71496314214,49726.28224834976,50875.33123768542
Project 115,41028.59632711784,44018.68328975051,45987.77790808357
Project 116,45234.579875724674,41956.768107549025,47590.407782387374
Project 117,57864.10952836033,54821.29681874507,52647.22648426081
Project 118,49523.99708945456,46765.22480329761,48930.16131306922
Project 119,52577.4579509641,49445.208340054065,51550.068638893885
Project 120,58868.082833236585,70164.66383476107,55075.41698493052
Project 121,45463.00993728418,45254.929117596126,47239.05478662063
Project 122,50856.51242129895,47868.05649627354,50106.43424532877
Project 123,49501.680089727044,51869.055726954364,50835.76657850225
Project 124,45698.33961974018,51007.09452325576,47700.93699351722
Project 125,50625.20559172833,51639.530239173466,50503.14583931431
Project 126,49426.14550427355,48800.37732996779,50134.675649500496
Project 127,51769.27073477735,52059.979386035804,50632.923248743245
Project 128,40712.01324802036,47163.33853880165,45235.80013053152
Project 129,50834.44713848254,50699.97592089228,50429.299238296306
Project 130,57652.157099791446,54568.68694905253,52589.91063414429
Project 131,49166.601627399476,46040.161878025545,49953.36586731432
Project 132,50270.053964772145,45090.0671112254,49965.20529379739
Project 133,49046.425240814155,46679.030654163,49381.94952880952
Project 134,51430.28477245255,50861.46571682516,50131.89042427796
Project 135,50073.14664687067,53021.94599230819,49484.89568236338
Project 136,49344.3014334766,49605.70246979971,49413.65450642426
Project 137,45310.927050936574,44897.12716467421,48075.0764546581
Project 138,45745.63780415913,44387.91188430157,48066.45666068327
Project 139,53928.41905329337,50564.34398288526,52909.37406268262
Project 140,48315.59677014096,52815.138761289345,48344.45541202865
