Project,Mean Aggregation,Median Aggregation,Quadratic Aggregation
Project 535,51121.872644360636,47809.24413727123,51923.37139514147
Project 536,44813.9781922672,47810.1159850797,39900.319413558165
Project 537,51732.15502230621,54358.89770622708,53170.472052340134
Project 538,50950.90234469282,45399.713099382956,51576.65053600115
Project 539,54272.88301357359,61926.205593617065,58521.4609985778
Project 540,43006.83857608222,38122.33115802152,36747.21353726751
Project 541,57693.74224904898,66136.03801445966,66131.25968261519
Project 542,58140.68019234631,59570.624880141324,67159.83059653552
Project 543,52942.789013206326,57220.91028717825,55688.1778279113
Project 544,50583.6664895422,56785.50098507238,50835.837900212806
Project 545,52647.145255203024,54690.06838929704,55067.965193593365
Project 546,47224.07991136594,54126.86719440484,44307.41220683426
Project 547,45159.625851051074,49029.2061237532,40518.190840730975
Project 548,45820.93111516327,41917.05648288172,41713.554218717785
Project 549,46295.28432049466,49503.0086436569,42581.689290773094
Project 550,53080.0402666564,52107.00150571371,55977.28913965708
Project 551,53002.429741269545,51351.10251866134,55813.71538519669
Project 552,53893.205847399695,57926.14553864514,57705.52709117363
Project 553,51329.824938904305,51648.10484004837,52346.655783447124
Project 554,48170.129915832644,58368.41625107044,46100.43364610887
Project 555,46235.968109967456,40039.40794449381,42472.64292060102
Project 556,50922.13907245295,41972.06217059674,51518.43392239611
Project 557,40982.95752764145,41330.75035493026,33369.98161201802
Project 558,46523.360721501114,44734.8402787526,43002.28510959509
Project 559,58395.544695707824,65938.98297750787,67749.9225238404
Project 560,46166.249438905594,47532.43568683894,42344.65149701158
Project 561,50255.9514264467,48970.787453616605,50179.27404487684
Project 562,54498.68582923601,51412.939530768315,59009.43212020659
Project 563,47530.78084000145,44247.522639333176,44884.79782769511
Project 564,52287.49581957532,44452.72573561728,54318.1613887684
Project 565,41829.71171725581,38237.928936699325,34763.14968334166
Project 566,50376.04853530194,53267.36200105653,50419.38834858301
Project 567,46281.15071239616,53430.29660605602,42555.693509566816
Project 568,48269.55190256859,39762.404840410396,46290.93040086724
Project 569,52958.311529453174,53419.73798769041,55720.837511420425
Project 570,49143.94939671165,52921.509080651056,47983.23070714998
Project 571,49261.82133129766,45181.1903372756,48213.68263948829
Project 572,50995.80441219696,42546.10515426728,51667.59764845902
Project 573,55160.45648122146,52336.95081628568,60451.22117215073
Project 574,54552.17360303566,46249.441160521696,59125.31865865838
Project 575,54244.804739990876,52294.546509181535,58460.92408039057
Project 576,52071.44444463428,48576.14184047792,53870.20465415916
Project 577,57391.32446090359,58586.70167215569,65439.78595814649
Project 578,50084.2636628847,44247.71484625363,49837.00805501569
Project 579,51939.92687563656,52523.19737691631,53598.42685942899
Project 580,52224.83884931405,55381.476387484734,54188.058686874
Project 581,57127.91798435604,55840.953999292964,64840.472140386846
Project 582,47557.16401894045,48800.161741536365,44934.6405735158
Project 583,50011.96205235322,46471.90766410724,49693.2225693055
Project 584,43821.41599853807,37632.332998006634,38152.4286598638
Project 585,46450.44933277092,54400.68907730673,42867.60440670273
Project 586,44951.58891033765,44654.50868307429,40145.74024064358
Project 587,56577.32520186669,59282.51690545657,63596.64399202846
Project 588,54420.0418934213,61033.95587062792,58839.248728343366
Project 589,49155.033423806555,49565.45696161512,48004.87762046357
Project 590,52961.91865380015,52892.639575257854,55728.42834386403
Project 591,52430.558649408544,47834.45988981555,54615.805813215426
Project 592,46296.33203675165,45047.87273701714,42583.616659126164
Project 593,47924.78991751266,38725.106535458,45632.032270162475
Project 594,48003.70732591862,46976.29960459597,45782.43988746774
Project 595,44781.73204740621,40521.53393012903,39842.91908311185
Project 596,44463.71253734529,43391.18312722112,39279.03582954647
Project 597,56538.198978163084,50331.46837218958,63508.71349633287
Project 598,48262.08748457391,48664.42883935427,46276.61462110754
Project 599,49118.59751497142,53513.09878094004,47933.73727259804
Project 600,52493.507634262955,60089.71182442251,54747.02979734815
