Project,Mean Aggregation,Median Aggregation,Quadratic Aggregation
Project 285,50860.66739542906,52428.17211141699,51394.12598559644
Project 286,43305.60590489928,40586.13286827655,37259.55074401125
Project 287,42782.366715984805,43175.74975825732,36364.61445361638
Project 288,47835.962381237805,44136.28098096816,45463.0331119897
Project 289,53762.966749017345,48184.58652574188,57426.96007516289
Project 290,44497.34143818673,45081.392916428995,39338.473525719455
Project 291,54349.402689110364,54404.348090788495,58686.596873778035
Project 292,50409.15821018618,50542.84930938855,50485.68644863209
Project 293,53897.716813930194,59111.158562528224,57715.187625980216
Project 294,51399.8114341632,47337.521097681005,52489.498918060795
Project 295,43063.81608991695,45717.066422694836,36844.646963993386
Project 296,46857.44573292677,50354.66431253701,43622.10282838071
Project 297,52062.2416173588,48747.650980722465,53851.16487582403
Project 298,45450.86236440633,44136.55803992797,41042.483369370224
Project 299,52719.46446083887,55664.86675700319,55219.35827512304
Project 300,53813.061811766,57832.94171384095,57534.02810406673
Project 301,50928.71345963901,49942.812095375695,51531.73752677509
Project 302,48755.97980753101,44953.730283728306,47228.60874926898
Project 303,52517.671349921744,57136.834747245164,54797.44350358944
Project 304,54845.91915368604,51940.543045613595,59763.77385067269
Project 305,47424.08265062505,51003.60725816363,44683.50716074644
Project 306,48988.45542249273,47984.7782910208,47680.06827623124
Project 307,49736.627295890125,48320.59777935277,49147.568780246336
Project 308,54551.88514995964,54012.82496534612,59124.69339173239
Project 309,49602.46033658181,49072.15108708115,48882.770524765125
Project 310,53233.931646015044,54202.98108120887,56302.342014587295
Project 311,53654.34155589941,66174.01167960529,57195.13831315694
Project 312,51511.75674696238,51641.84128382165,52718.38505306539
Project 313,53765.53378633513,57815.91259824189,57432.44417240902
Project 314,53772.2244686517,58434.56140756021,57446.73906062868
Project 315,48989.783149357776,55631.08400326638,47682.65284293864
Project 316,52124.24266296005,47102.76699641867,53979.50420715987
Project 317,44374.07454993886,39829.667559419264,39120.82390834729
Project 318,52450.45929564246,46997.97106512877,54657.27384748003
Project 319,54206.042661223895,52617.99526449267,58377.404292074454
Project 320,47678.25378123028,46680.4215206795,45163.756507472965
Project 321,51802.178563900045,53804.99963513641,53314.510303654155
Project 322,48823.78463778353,44612.12726875267,47360.061528885
Project 323,46540.89892125575,43948.362715902695,43034.7128967935
Project 324,51594.40374361724,51896.88847476408,52887.68665455496
Project 325,48357.228229772234,55152.1577209927,46459.24788538322
Project 326,50905.95344950741,55315.53519760485,51485.68881622607
Project 327,49956.19337383728,52952.78434337321,49582.45786108918
Project 328,43285.97659721605,46784.94979207864,37225.780823798435
Project 329,46840.53355100207,48549.15979159924,43590.619601290906
Project 330,50723.86471900718,56015.91208398109,51118.02271312934
Project 331,45900.32829660102,48536.43139505109,41858.23953905854
Project 332,52485.3679267775,53663.427151420474,54730.052830909226
Project 333,55632.928675997726,54146.51720531993,61491.23583529947
Project 334,52179.20463121367,54406.08473708626,54093.40069040799
Project 335,44170.967730216646,43750.186475928735,38763.519700304496
Project 336,50984.429361872026,50033.3083660233,51644.5504200826
Project 337,47656.67484463333,45668.03887100072,45122.88398322682
Project 338,46032.86819014852,44600.68587448784,42100.32480262763
Project 339,49564.856853114754,48141.26809298229,48808.68284089092
Project 340,48931.88509945227,45605.1386149241,47570.012979463565
Project 341,47704.177398446394,47941.62559862392,45212.88272912212
Project 342,54283.579705687596,66857.34106389998,58544.53136829773
Project 343,52381.826654657125,55611.465203579566,54514.32681556796
Project 344,42148.133203293495,41920.03976760588,35294.42111817295
Project 345,45573.426807774245,49282.14730140036,41264.13512150383
Project 346,45210.16535425905,39774.93296280214,40608.93185364278
Project 347,46328.6166508237,50101.38920421363,42643.02849259196
Project 348,56221.1158413961,62196.57303718884,62798.35930148135
Project 349,50040.56135262683,52247.486555581185,49750.07287827409
Project 350,49806.59136316275,53196.209395776496,49285.936920344844
Project 351,42973.03136587184,35187.141871829466,36689.463071231825
Project 352,46001.72552755521,42009.976547266895,42043.37972157818
Project 353,49828.91244826193,44399.34480816336,49330.122321247094
Project 354,46499.08013635121,48771.601917269865,42957.41095754378
Project 355,42922.86330601837,41396.27844781037,36603.84822345275
Project 356,48780.665290731806,51368.023599008855,47276.445185913384
Project 357,51509.12621183189,55161.628265791645,52713.00088324629
Project 358,50795.09682518289,53604.13920266893,51261.69477606358
Project 359,47360.67918047582,47930.449731582645,44564.10809556952
Project 360,57246.16502921124,52023.37281874802,65109.17191152068
Project 361,52461.1758774548,51576.73085190311,54679.61107744017
Project 362,48026.66147857021,45568.56824237392,45826.2343537137
Project 363,44108.90055944209,44349.02730789448,38654.65852941454
Project 364,43002.048797483854,39620.03878882822,36739.028735901724
Project 365,49080.46092539587,51132.370937453365,47859.33288404736
Project 366,48841.69420287663,46509.12932731522,47394.81318442685
Project 367,52371.18590184172,48365.735570037185,54492.181174759775
Project 368,45240.80678117264,38101.68346187823,40663.99634095
Project 369,46805.498361003505,48716.46421354932,43525.43526737453
Project 370,48749.57582913231,51417.22734673038,47216.20284015477
Project 371,54446.268404941,50695.49301203687,58895.97489111801
Project 372,48636.69042056631,44019.99389406794,46997.786613480304
Project 373,43174.97329081019,49842.14069450186,37035.100758040135
Project 374,50643.221707402874,55346.62798943936,50955.612596843945
Project 375,52928.265557636325,50285.70471347135,55657.62885770548
Project 376,46616.676579330786,52454.975100577416,43174.96478979976
Project 377,45493.945225646385,47457.54953547915,41120.328566366814
Project 378,47812.7982045272,49227.154962345194,45419.01356270063
Project 379,49111.01579763515,53111.14404752525,47918.94075896181
Project 380,49110.54136882275,51442.657791718615,47918.01493749481
Project 381,50908.25920266126,56362.82693746359,51490.35294565864
Project 382,54757.30971739472,50672.462354095194,59570.82033427718
Project 383,55410.31234891854,59171.35355756305,61000.103512108486
Project 384,50601.67438229422,51544.47752454001,50872.03967564053
Project 385,48010.39229832304,44818.95009002126,45795.19205494784
Project 386,44802.5953600113,39695.3952371101,39880.05247988889
Project 387,46724.960653151866,45338.672020253485,43375.776657712064
Project 388,61147.5249690019,58287.63310298043,74286.02865405269
Project 389,53884.04599431124,56062.59935322944,57685.91314454705
Project 390,44947.21384868711,44232.224712854964,40137.92598777993
Project 391,55026.0466268357,59648.030846370595,60156.976311260456
Project 392,47325.880240409744,50959.06085593029,44498.643916287525
Project 393,49608.25198604083,46823.33311332659,48894.1864262266
Project 394,45995.98587607224,48835.89407972264,42032.88884152694
Project 395,45122.264048583056,43481.67355024753,40451.17494339733
Project 396,46930.33636799418,59406.69195652889,43757.92396959393
Project 397,49407.11348366408,46423.04398243781,48498.50361702266
Project 398,42889.06820185755,39153.738188453215,36546.23119685711
Project 399,55210.881999141035,59854.52648224086,60561.79594406891
Project 400,58807.573633023305,62743.341025675996,68709.35907669127
Project 401,50893.36615341253,51423.42181438248,51460.23067454826
Project 402,47278.69025962858,45706.41067977652,44409.94643362273
Project 403,51156.940618174114,50974.22866078331,51994.63138057621
Project 404,54486.66898526925,52009.154688243856,58983.41208140155
Project 405,45527.472317110754,44305.258883023984,41180.95874522904
Project 406,52987.0733491301,56168.83345051528,55781.37825872861
Project 407,42624.6415484986,44544.06405585307,36096.978853338434
Project 408,55614.9586911056,62754.00672569155,61451.51769919368
Project 409,50883.30122135142,50285.21539555619,51439.878611042426
Project 410,52139.29085357886,54724.534957883254,54010.676309863855
Project 411,55504.04860941986,51045.53281634867,61206.66282514532
Project 412,55051.968591406505,56299.25226321774,60213.66780216091
Project 413,47955.819181266445,45703.525876872445,45691.14100049082
Project 414,55949.63178498327,51855.88613386314,62193.334302630865
Project 415,40931.708518194224,41956.035986688075,33286.5757613612
Project 416,57931.038183274926,55039.74747789628,66676.37777144868
Project 417,46394.16517384929,46800.41905893371,42763.78171758568
Project 418,57437.867159983354,56812.732192237825,65545.9685318868
Project 419,51170.576846403856,54510.414845484214,52022.35411565184
Project 420,47118.40417309544,51786.92642832967,44109.336153908655
Project 421,46236.285633609485,46787.06928189407,42473.22628092095
Project 422,51667.69039514929,54710.247197599136,53038.04072252447
Project 423,44858.164051288935,44416.1961794617,39979.040344802685
Project 424,48913.08293474619,49502.7328012185,47533.46227735196
Project 425,47867.24960755547,45904.4318832459,45522.52297280971
