round,majoritarian_moving_phantoms_gini_index,r1_quadratic_gini_index,r2_mean_gini_index,r3_median_gini_index,r4_capped_median_gini_index
1,0.24782132849866603,0.13638711278439317,0.25016966973228544,0.2938587651804996,0.2938587651804996
2,0.2536270209887596,0.13957204451147776,0.25430025957292457,0.2995012218024231,0.2995012218024231
3,0.248953458816462,0.1367660787628326,0.24863400426254273,0.29278751346666,0.29278751346666015
4,0.24192826016417499,0.13442956652999052,0.24384258675257164,0.28629012068515436,0.28629012068515436
5,0.24766996288850388,0.13485142781780154,0.24775670037102424,0.29148670756623957,0.2914867075662395
6,0.24143005476457424,0.13332349045119177,0.24297532920235945,0.28519252437700693,0.28519252437700693
7,0.23880010354031386,0.1317221054321205,0.24041705546624492,0.28355585061811095,0.28355585061811095
8,0.2534397562223265,0.13772900685502543,0.25398730331982955,0.30163912025764916,0.30163912025764916
9,0.24783552176037094,0.13683474432673953,0.24789171560466444,0.2920129043389177,0.2920129043389177
10,0.24808064442282715,0.13689987643917384,0.24838508284759808,0.2939489679055234,0.29394896790552366
11,0.24691474840291966,0.13538636154874245,0.24840544858356683,0.2940288270976395,0.2940288270976395
12,0.24617868139808835,0.1343749152520914,0.24656988889961343,0.2917899041903107,0.2917899041903109
13,0.253949561865431,0.1398876659924275,0.2538480544812563,0.2987416608155731,0.2987416608155731
14,0.2597266779548763,0.1418521835545929,0.26013759403784276,0.3067634336322029,0.3067634336322029
15,0.2543973278888472,0.13916029277959405,0.2536884496929525,0.3001886256763955,0.3001886256763955
16,0.2515709706140528,0.13713261731305482,0.25255059575834843,0.2967419238885631,0.2967419238885631
17,0.245594920380317,0.13512031370789288,0.2464644852752659,0.29089523723944427,0.29089523723944427
18,0.2513227680293036,0.13760473138392137,0.2521203774279642,0.29796418865052465,0.29796418865052465
19,0.24437590498159403,0.13486161210311956,0.24480258719076217,0.2879370757111891,0.2879370757111891
20,0.25192543343287455,0.13841883501838642,0.25298599503692115,0.29882431312332425,0.2988243131233243
21,0.2516676720523604,0.13981189199341243,0.2536681140661612,0.2993375475882485,0.2993375475882484
22,0.24531770575759612,0.13528131848659264,0.24517433284648582,0.2885580725780225,0.2885580725780225
23,0.24769068512658177,0.135693794689329,0.2485410799141533,0.29301230420171576,0.29301230420171576
24,0.2408135338820874,0.1327155645140687,0.24100777252817598,0.28274142008125486,0.28274142008125486
25,0.24217586434426394,0.13283966851624365,0.24307240803829264,0.28543262313824186,0.28543262313824197
26,0.2474592380462319,0.13753223081517915,0.24893313372916598,0.2929657864827726,0.2929657864827726
27,0.2516561158155947,0.13816929406375147,0.25220320213233577,0.2967002798088946,0.2967002798088946
28,0.2552744433612834,0.1401306981805836,0.25751506280121467,0.30321267988847855,0.30321267988847855
29,0.2546753648744656,0.13857545241115332,0.25283927180256366,0.29814095344720565,0.29814095344720565
30,0.2488155732982251,0.13690435186509092,0.24975087985718594,0.2952419043989433,0.2952419043989433
31,0.2516902943607498,0.13844464056897607,0.2525167738307361,0.2975859381704921,0.29758593817049206
32,0.2566397881718424,0.13908069394783315,0.2561605015520938,0.302322127189479,0.302322127189479
33,0.2524486809528913,0.13964656562423222,0.25450557383960426,0.299523015727599,0.299523015727599
34,0.2458546734854534,0.13626298150324861,0.24626008925896767,0.2903567017412829,0.29035670174128264
35,0.25349315215745155,0.13783246788831494,0.254071164842872,0.3004500260273887,0.30045002602738874
36,0.2475701501763464,0.13656511652565043,0.24873406692276737,0.293492374163783,0.293492374163783
37,0.2537330728548885,0.13776786063153523,0.25449953397741665,0.30121725843920144,0.30121725843920166
38,0.2564592961661846,0.1401159871726185,0.2564054501761945,0.30331676987127126,0.30331676987127143
39,0.2515589045289845,0.13788613348686662,0.2503766256122968,0.2963413768860412,0.2963413768860412
40,0.25161746826664555,0.1376217200511739,0.2527443572523433,0.2976752262861478,0.2976752262861478
41,0.257825601048447,0.14349577853886814,0.2589586784339109,0.305324290643911,0.305324290643911
42,0.25540718236253807,0.13882153425266935,0.2558910585422267,0.3023273906585358,0.3023273906585358
43,0.25480134215477096,0.13790278305018436,0.25540351892814755,0.3016938953646918,0.301693895364692
44,0.24663534570391815,0.13623842923329055,0.247109108797446,0.29221130365367964,0.29221130365367964
45,0.2400655411995302,0.13436671340695297,0.24166850689839464,0.28471724484119276,0.28471724484119276
46,0.24343591916116933,0.1359150015937132,0.24523690399371453,0.28882604442447624,0.2888260444244764
47,0.26309461114137284,0.14437100839530875,0.26283661129786323,0.3108375461626469,0.3108375461626469
48,0.24633748766576252,0.13517021062838105,0.24700529350084258,0.2914485562158314,0.2914485562158314
49,0.24119462191845906,0.1332523754425176,0.24105745541998064,0.28399148688405934,0.28399148688405934
50,0.25549988165107684,0.14139845418625804,0.25624911428766173,0.30336719768305687,0.30336719768305687
51,0.24655158292328214,0.1360498771961288,0.24757100133806886,0.2918196194279908,0.2918196194279908
52,0.25317463326770323,0.1388340404342236,0.253799071883752,0.30089033122212955,0.30089033122212955
53,0.23975031238751873,0.1348032091327017,0.2420430634040192,0.2856984658392792,0.2856984658392792
54,0.24861792543556324,0.13624934895449758,0.24852031209660203,0.29345723310561206,0.29345723310561206
55,0.2401013647678316,0.13231370811834986,0.24225130789315605,0.2834167164326499,0.2834167164326497
56,0.2579940455400597,0.14195205380784473,0.25914722601168,0.3042046532484838,0.3042046532484838
57,0.24417080384189074,0.13475625902242497,0.24397601765658208,0.28789063738615767,0.28789063738615767
58,0.2532319858434805,0.13850279574709148,0.253319999709272,0.2979829186408815,0.2979829186408815
59,0.2558627918064157,0.1386709250753082,0.25626994149276744,0.3019105465884267,0.3019105465884267
60,0.2595779724813103,0.14121549288341265,0.2597782828740516,0.30718149131902706,0.30718149131902706
61,0.2435375172520754,0.134345245795458,0.24548785634629589,0.2908962112941133,0.2908962112941133
62,0.2520875936067756,0.13817246633741967,0.2520374479282586,0.29713435574829794,0.29713435574829794
63,0.24697221804434957,0.13678857139621425,0.24805010239104933,0.29239648870242324,0.2923964887024231
64,0.2359523277129239,0.1289881969159978,0.23717534331546683,0.2804865785159265,0.2804865785159265
65,0.24756834087750632,0.1353561349281228,0.24722098702570008,0.2932341053401229,0.2932341053401229
66,0.2494806038383492,0.13847239668089653,0.2500769412906693,0.29527901635475123,0.29527901635475123
67,0.2518452757555423,0.13833295728476103,0.2536801915815253,0.29968016284700705,0.29968016284700705
68,0.25249564139909864,0.13940660440476293,0.2541501300740296,0.2990429367789451,0.2990429367789451
69,0.23886978026111888,0.1327158959877336,0.23963575854056354,0.2839714173457372,0.2839714173457372
70,0.238761861099535,0.1334021072126638,0.24053973103913523,0.28400860197412725,0.28400860197412725
71,0.2477536933153694,0.13698364608853464,0.2490865636633771,0.29339931701813654,0.29339931701813654
72,0.25008920563846393,0.13731105555663342,0.24990434873076253,0.29530892283163934,0.29530892283163934
73,0.2332748252897123,0.12965001821014474,0.23386280126777173,0.2766872499625046,0.27668724996250477
74,0.25170350276924947,0.13886223796586786,0.252566190361835,0.2972169450947788,0.29721694509477903
75,0.23697514710508172,0.1310370537405268,0.23801426646772825,0.2804251998979303,0.2804251998979303
76,0.2423719677491731,0.1338938922815867,0.24370960388968113,0.28678090016255464,0.28678090016255436
77,0.2550386944573806,0.13881551859853705,0.25607204632690306,0.3019118365066693,0.3019118365066693
78,0.24871017606773005,0.13762020204401956,0.2492184690356073,0.29363842342367763,0.29363842342367763
79,0.2539106894322468,0.1397466666576737,0.25439137160410313,0.3002754348334081,0.3002754348334081
80,0.25887351987599294,0.14062318462450504,0.2586502923596235,0.30501188004034036,0.30501188004034036
81,0.24620346515277933,0.13481808801592157,0.24634406625884883,0.29124641627381287,0.29124641627381287
82,0.23431764186988238,0.12936911792888553,0.23359628004698976,0.2740794237830579,0.2740794237830579
83,0.2479868111242288,0.13704085847325417,0.2491302505281265,0.2938396779271722,0.2938396779271722
84,0.24651176240675302,0.1356618420640341,0.24663840080088667,0.29007732340198183,0.29007732340198183
85,0.25178534344886855,0.13807484660012065,0.2518141437894571,0.29709293364828737,0.29709293364828765
86,0.2567957213826811,0.14085245705967386,0.25737097912324514,0.3046160109936344,0.3046160109936344
87,0.23977769736029608,0.13388626108929597,0.2414674035880787,0.2844416089628024,0.2844416089628024
88,0.24843311219459538,0.13708641831996354,0.2484775918421624,0.29395462119128707,0.29395462119128707
89,0.25774784047151894,0.1407263329761557,0.2579202797478949,0.30370869681005974,0.3037086968100593
90,0.24603810010328203,0.13433256590904485,0.24607078638853247,0.29133463263715464,0.29133463263715464
91,0.2411571770360927,0.1318254734840507,0.24000800302024794,0.2822394558121716,0.2822394558121716
92,0.2483550432341278,0.13759556747779753,0.24879470780627935,0.29537922345683915,0.29537922345683915
93,0.24857658338794963,0.13641902243761822,0.2473265457229679,0.2915175827788519,0.2915175827788519
94,0.24475583365209486,0.13618399409343088,0.24612430754731152,0.28915900943286815,0.28915900943286815
95,0.24935668731300767,0.1367584146674021,0.24910838668095134,0.2943409148424849,0.2943409148424849
96,0.2436565795092073,0.13497042552398675,0.24575848630239025,0.2905654555407587,0.2905654555407587
97,0.25515380324569886,0.13892861848058888,0.25569763969045045,0.3009002595495779,0.3009002595495779
98,0.2487984078658344,0.13580102454135,0.2475179160558105,0.29307504427468895,0.29307504427468895
99,0.2466775185281825,0.13347678342353642,0.24634151710591856,0.2909564717105382,0.29095647171053796
100,0.25797987270028117,0.14036555565738984,0.25767385586620484,0.30245406484443993,0.30245406484443993
