majoritarian_moving_phantoms_distances,r1_quadratic_distances,r2_mean_distances,r3_median_distances,r4_capped_median_distances,changed_vote_l1_distances,round
5149.534052160059,14984.398765009344,63851.78230024415,3605.17240032311,3605.172400326508,4684323.0,1
5996.74793659848,16588.870454394877,68198.26245302455,6019.054328554816,6019.05432856183,4983256.0,2
10429.433045783207,18928.9100754224,77212.89287675018,6475.6070619814745,6475.6070619814745,5654098.0,3
6037.06824170738,14843.7632096354,58923.757189996686,2197.4928893150573,2197.4928893150573,4319451.0,4
8722.04128524775,18377.90230841336,79579.48142107272,5434.399255558685,5434.399255558685,5838427.0,5
10704.625164712437,10678.005198704974,39917.036189065635,4576.933049377516,4576.933049377516,2924687.0,6
4406.236437654225,12209.54814023475,43506.5300190838,4835.226631914615,4835.226631914615,3181348.0,7
5021.907594821932,12031.400185784216,43632.66156316742,5584.334091745477,5584.334091745477,3210672.0,8
2475.7437116163383,16133.513704292818,64954.82124584996,4666.3947762224125,4666.394776225978,4745968.0,9
4892.326000978581,15855.493000586437,62099.41666235785,3589.139095971783,3589.139095971783,4548759.0,10
9151.434729416185,19239.310269476773,84308.8831463261,1712.4417829638114,1712.4417829638114,6164406.0,11
5433.166851232199,14270.89413345802,55491.24386134118,4621.173531385724,4621.173531385724,4063286.0,12
3172.883674312994,15619.721313785318,64370.44401662434,4653.954058665138,4653.954058665138,4705606.0,13
4049.8727690541746,15511.3682213563,65565.76546257491,7294.911879286992,7294.911879286992,4833285.0,14
5948.019816111304,15265.707780707315,61905.28962966724,4333.084743307914,4333.084743307914,4535255.0,15
6540.259179851895,15049.749983021182,66250.9258642417,2715.752001222896,2715.752001222896,4862036.0,16
6688.726301925668,15644.689825246413,65384.33929725961,4201.95427719946,4201.95427719946,4788017.0,17
6329.170061656274,14917.55031440912,55994.190952929195,4392.797995886074,4392.797995886074,4102897.0,18
6623.955682373624,11769.485348300033,44011.27155253019,5675.069804263872,5675.069804267379,3232050.0,19
2771.3190227682608,14104.672271328516,59087.83636919516,5324.821176377904,5324.821176384859,4351536.0,20
4260.5728808753265,16691.428882804496,68738.63312606682,6311.311416686818,6311.311416690554,5048096.0,21
2305.5184448557156,15905.191830696473,55786.411623582084,4246.165341814329,4246.165341817923,4067202.0,22
2338.027867262699,17745.67574473488,78250.58473926506,2221.426375802046,2221.426375802046,5736714.0,23
3529.576929865445,13751.585824855632,57281.49416446299,5300.219106693494,5300.219106693494,4188907.0,24
3399.6977688147745,13855.910204800224,61612.94081561086,2520.6888109403008,2520.6888109476495,4525803.0,25
2305.5794731392853,16192.698189470797,67387.41945506455,2001.7468090348448,2001.7468090348448,4931351.0,26
3685.1750683150494,15530.06811509186,61542.38968282785,2169.156961984918,2169.1569619885777,4507052.0,27
5526.733231415688,16362.072754918208,63265.49619650471,4640.356396752533,4640.356396749179,4632873.0,28
7795.72523660789,17333.098035890478,74758.80791303943,2046.2541517328718,2046.2541517328718,5496742.0,29
3928.4193897082223,14087.049973293262,52703.75355508539,4483.9081440075715,4483.90814401456,3861522.0,30
6329.586449093742,17279.637418988452,71010.09692001728,3514.1873134861526,3514.187313493305,5200978.0,31
3221.5512943347167,14833.573049066083,60513.79036272898,3115.2779108058203,3115.2779108058203,4439700.0,32
6085.714091821505,20109.16055783348,85347.18939454007,5380.658015397679,5380.658015401201,6249941.0,33
5005.9943579684805,17356.647916480975,75299.89260876432,4940.834607759982,4940.834607759982,5533106.0,34
6775.374158335209,13983.489884171853,55551.84104002442,3468.0317839827258,3468.0317839827258,4087140.0,35
5494.298017253463,15999.080010327685,67557.96417556993,2721.4352165741875,2721.4352165741875,4954883.0,36
2994.8535964518014,14335.581183210437,57107.29513591253,1370.2157173574196,1370.2157173574196,4206834.0,37
8981.100768670443,17262.928191481493,67537.33034518128,3776.104939296554,3776.104939296554,4948309.0,38
7659.535489953432,11932.58827202368,45043.301861113316,4932.3863768029005,4932.3863768029005,3300806.0,39
3594.201062153217,12753.748472489911,49945.01723521507,3115.6278035891846,3115.6278035891846,3666575.0,40
4665.575570190082,13136.120537505958,55000.92393870504,1867.4098554609918,1867.409855464648,4036065.0,41
5907.485126577609,14545.017038488411,57559.06029654853,3287.6477144148303,3287.6477144148303,4220296.0,42
6858.850290232862,19490.71435284461,80482.69119538835,6275.007711039423,6275.007711042876,5914878.0,43
8713.976509238699,14504.011402005679,55929.42202337686,4310.115596794702,4310.115596794702,4099625.0,44
2402.8330372721684,14906.082395303001,60991.558579978126,2252.322509092548,2252.322509092548,4468083.0,45
5737.273551401246,15836.71988212927,66501.03978138327,1460.052022485288,1460.052022485288,4882741.0,46
4357.66272276462,17265.610950471164,70391.71120599765,4636.436962270469,4636.436962270469,5146466.0,47
4941.138721209023,16280.387335043826,65880.1255364948,5204.372841517023,5204.372841517023,4839501.0,48
7329.942562557058,15649.975064089846,63841.68230369848,4481.458579073158,4481.458579073158,4700857.0,49
7483.891736966943,14442.001879858035,57640.824868382944,4673.03529236004,4673.03529236004,4225155.0,50
9141.585179652899,16795.79850080242,68548.75684418893,4857.245326699893,4857.245326699893,5029173.0,51
3709.663751630367,12029.532041894323,50592.52682367418,4397.828997110588,4397.828997110588,3710872.0,52
3367.2934393927244,14886.761982686407,67106.96603143736,1939.4926061655206,1939.492606168933,4925719.0,53
5200.71874508847,15307.501336752553,68768.02217849405,3092.765228816872,3092.765228816872,5058738.0,54
11627.968216192305,19067.93441095804,79378.10047517008,4828.187737428718,4828.187737428718,5823003.0,55
5575.412342124251,14139.315948830656,58318.459814841706,1378.375825958905,1378.3758259658207,4283039.0,56
1406.2278314852483,13573.335048587087,55569.991919001855,4801.736377690308,4801.736377690308,4064271.0,57
1568.2646486174235,12924.767494982309,53375.03132647585,1108.7077176040111,1108.7077176073908,3910058.0,58
2982.018830066587,17626.095158379238,75931.55829906873,4831.754219916285,4831.754219919811,5574933.0,59
5022.027778561511,15095.684185921065,66916.94347605668,2808.0578060491607,2808.0578060491607,4914801.0,60
6631.954565094093,13832.645517523233,58571.86834029324,3233.544913624344,3233.544913624344,4302929.0,61
7837.800846592025,15225.925454716504,60297.92947835915,4855.288753379522,4855.288753386478,4419208.0,62
5362.349565429839,16418.44511049204,65315.79523883917,3640.4390768343,3640.439076837869,4795478.0,63
7240.610084645032,16190.254397161301,61297.18413572207,5055.579549354388,5055.579549357892,4471933.0,64
2346.107866713315,11389.368224686234,47653.030743919946,1114.1570430974534,1114.1570430974534,3501465.0,65
11142.311197689287,16109.46012958328,71702.24910265894,5493.2535023846685,5493.253502381016,5284987.0,66
9419.687824227422,16978.636074062182,63632.510348928,7464.505400827849,7464.505400827849,4666292.0,67
3399.829841129369,13867.410057478173,53075.10033269783,4246.211377955668,4246.211377955668,3878890.0,68
7853.902135942015,12870.81628149249,48082.23776224842,6142.288788554302,6142.288788554302,3524616.0,69
5777.93473632136,16282.135395152203,62380.328663857814,2155.5578145635845,2155.5578145705767,4556658.0,70
5408.839321158073,16179.64736901989,65204.066808883465,3387.7003007535823,3387.7003007535823,4773667.0,71
9248.709320979862,16109.56234514124,64284.61627083679,1891.615421221275,1891.615421221275,4712587.0,72
2119.2010645714,10696.739467332045,42170.10514429165,1260.2273152859816,1260.2273152894631,3094167.0,73
5891.3853165776745,15703.090866964802,61307.43806401017,1328.7582559243892,1328.758255920944,4494243.0,74
12708.928365682765,15941.549738552454,60555.965039587274,3705.570161420892,3705.570161420892,4425342.0,75
7394.658378150041,12895.904206696916,40715.29924778179,5397.116736797983,5397.116736797983,2971012.0,76
8243.718313878479,14848.887195936317,58259.832154192816,2407.3426116196206,2407.3426116196206,4269293.0,77
6069.635454398103,14657.459706525082,51682.32644591176,6229.1313702482,6229.1313702482,3783794.0,78
5907.617546619735,14841.6191016495,66061.8940050737,4161.725636916664,4161.725636923802,4855340.0,79
